[4/20/23 08:16AM] Empty One used command ::train | Player rights = PLAYER	
[4/20/23 08:31AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:34AM] Empty One used command ::train | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Empty One used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Empty One used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 08:39AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:40AM] Empty One used command ::train | Player rights = CLERIC_DONATOR	
[4/20/23 08:43AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:45AM] Empty One used command ::train | Player rights = CLERIC_DONATOR	
[4/20/23 08:53AM] Empty One used command ::ref | Player rights = CLERIC_DONATOR	
[4/20/23 08:53AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:58AM] Empty One used command ::train | Player rights = CLERIC_DONATOR	
[4/20/23 09:04AM] Empty One used command ::kc | Player rights = CLERIC_DONATOR	
[4/20/23 09:06AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:12AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 09:58AM] Empty One used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 10:05AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Empty One used command ::yell eyo alex. | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Empty One used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Empty One used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:39AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Empty One used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Empty One used command ::claimvotes | Player rights = CLERIC_DONATOR	
