[4/22/23 07:32AM] Jelq used command ::Train | Player rights = PLAYER	
[4/22/23 07:32AM] Jelq used command ::ninetails | Player rights = PLAYER	
[4/22/23 07:33AM] Jelq used command ::veigar | Player rights = PLAYER	
[4/22/23 07:34AM] Jelq used command ::nintails | Player rights = PLAYER	
[4/22/23 07:34AM] Jelq used command ::ninetails | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::home | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:35AM] Jelq used command ::pos | Player rights = PLAYER	
[4/22/23 07:37AM] Jelq used command ::voteboss | Player rights = PLAYER	
[4/22/23 07:38AM] Jelq used command ::train | Player rights = PLAYER	
[4/22/23 07:39AM] Jelq used command ::home | Player rights = PLAYER	
[4/22/23 07:45AM] Jelq used command ::train | Player rights = PLAYER	
[4/22/23 07:50AM] Jelq used command ::home | Player rights = PLAYER	
[4/22/23 07:51AM] Jelq used command ::ref | Player rights = PLAYER	
