[4/15/23 03:14PM] Maou used command ::train | Player rights = PLAYER	
[4/15/23 03:17PM] Maou used command ::refer | Player rights = PLAYER	
[4/15/23 03:25PM] Maou used command ::vote | Player rights = PLAYER	
[4/15/23 03:26PM] Maou used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:26PM] Maou used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:26PM] Maou used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:29PM] Maou used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] Maou used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] Maou used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] Maou used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] Maou used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Maou used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:34PM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:35PM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:36PM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:37PM] Maou used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:42PM] Maou used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:44PM] Maou used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:49PM] Maou used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:57PM] Maou used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] Maou used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Maou used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:39AM] Maou used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:40AM] Maou used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:43AM] Maou used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:44AM] Maou used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:45AM] Maou used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:45AM] Maou used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:45AM] Maou used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:45AM] Maou used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Maou used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02AM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] Maou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] Maou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:37AM] Maou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:38AM] Maou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] Maou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] Maou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34AM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:59AM] Maou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:00PM] Maou used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:03PM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:06PM] Maou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Maou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Maou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Maou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:21PM] Maou used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Maou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:33PM] Maou used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:34PM] Maou used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:41PM] Maou used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:43PM] Maou used command ::home | Player rights = CLERIC_DONATOR	
