[4/16/23 08:44AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/16/23 08:47AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/16/23 10:56AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/16/23 11:32PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 01:31AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 01:45AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 06:21AM] Dopa Afk used command ::makeover | Player rights = PLAYER	
[4/17/23 06:22AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:29AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:42AM] Dopa Afk used command ::home2 | Player rights = PLAYER	
[4/17/23 10:42AM] Dopa Afk used command ::oldhome | Player rights = PLAYER	
[4/17/23 10:44AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:52AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 11:54AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 09:24PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:41PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 10:46PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/17/23 11:16PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 12:26AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 02:51AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 10:10AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 11:02AM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 09:28PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 09:39PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 09:51PM] Dopa Afk used command ::raids | Player rights = PLAYER	
[4/18/23 09:51PM] Dopa Afk used command ::home | Player rights = PLAYER	
[4/18/23 09:52PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 10:10PM] Dopa Afk used command ::bis | Player rights = PLAYER	
[4/18/23 11:15PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 11:22PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 11:26PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/18/23 11:47PM] Dopa Afk used command ::mb | Player rights = PLAYER	
[4/19/23 12:04AM] Dopa Afk used command ::veigar | Player rights = PLAYER	
[4/19/23 12:04AM] Dopa Afk used command ::veigar | Player rights = PLAYER	
[4/19/23 11:10PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/19/23 11:13PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/19/23 11:46PM] Dopa Afk used command ::afk | Player rights = PLAYER	
[4/20/23 01:01AM] Dopa Afk used command ::afk | Player rights = PLAYER	
