[4/17/23 02:50PM] Emordnys used command ::ref | Player rights = PLAYER	
[4/17/23 02:52PM] Emordnys used command ::train | Player rights = PLAYER	
[4/17/23 02:53PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/17/23 02:55PM] Emordnys used command ::pos | Player rights = PLAYER	
[4/17/23 02:56PM] Emordnys used command ::train | Player rights = PLAYER	
[4/17/23 03:00PM] Emordnys used command ::voteboss | Player rights = PLAYER	
[4/17/23 03:00PM] Emordnys used command ::train | Player rights = PLAYER	
[4/17/23 03:02PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/17/23 03:03PM] Emordnys used command ::train | Player rights = PLAYER	
[4/17/23 03:04PM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:23AM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:26AM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:29AM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:31AM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:34AM] Emordnys used command ::players | Player rights = PLAYER	
[4/18/23 07:34AM] Emordnys used command ::train | Player rights = PLAYER	
[4/18/23 07:35AM] Emordnys used command ::altar | Player rights = PLAYER	
[4/18/23 07:40AM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 07:41AM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 07:42AM] Emordnys used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:42AM] Emordnys used command ::golden | Player rights = PLAYER	
[4/18/23 12:03PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 12:05PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 12:10PM] Emordnys used command ::dr\ | Player rights = PLAYER	
[4/18/23 12:11PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 12:12PM] Emordnys used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:12PM] Emordnys used command ::golden | Player rights = PLAYER	
[4/18/23 12:12PM] Emordnys used command ::dr | Player rights = PLAYER	
[4/18/23 12:16PM] Emordnys used command ::voteboss | Player rights = PLAYER	
[4/18/23 12:18PM] Emordnys used command ::shops | Player rights = PLAYER	
[4/18/23 01:12PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 01:16PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 01:23PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 02:11PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 02:12PM] Emordnys used command ::golden | Player rights = PLAYER	
[4/18/23 02:12PM] Emordnys used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:17PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 02:19PM] Emordnys used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 02:41PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 02:41PM] Emordnys used command ::nintails | Player rights = PLAYER	
[4/18/23 02:42PM] Emordnys used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42PM] Emordnys used command ::merum | Player rights = PLAYER	
[4/18/23 02:42PM] Emordnys used command ::mereum | Player rights = PLAYER	
[4/18/23 02:42PM] Emordnys used command ::meruem | Player rights = PLAYER	
[4/18/23 02:45PM] Emordnys used command ::collections | Player rights = PLAYER	
[4/18/23 02:45PM] Emordnys used command ::collection | Player rights = PLAYER	
[4/18/23 03:11PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 06:19PM] Emordnys used command ::home | Player rights = PLAYER	
[4/18/23 06:41PM] Emordnys used command ::veigar\ | Player rights = PLAYER	
[4/18/23 06:41PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] Emordnys used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:45PM] Emordnys used command ::meruem | Player rights = PLAYER	
[4/18/23 06:59PM] Emordnys used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:10PM] Emordnys used command ::Dr | Player rights = PLAYER	
[4/18/23 07:11PM] Emordnys used command ::veigar | Player rights = PLAYER	
[4/18/23 07:12PM] Emordnys used command ::maxhit | Player rights = PLAYER	
[4/18/23 07:24PM] Emordnys used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:39PM] Emordnys used command ::home | Player rights = GRACEFUL_DONATOR	
