[4/21/23 07:00PM] Narutoesafk used command ::home | Player rights = PLAYER	
[4/21/23 07:00PM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/22/23 09:38AM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/22/23 08:42PM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/22/23 08:44PM] Narutoesafk used command ::bank | Player rights = PLAYER	
[4/22/23 08:44PM] Narutoesafk used command ::bank | Player rights = PLAYER	
[4/22/23 08:44PM] Narutoesafk used command ::bank | Player rights = PLAYER	
[4/22/23 08:44PM] Narutoesafk used command ::pos | Player rights = PLAYER	
[4/23/23 08:26AM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/23/23 09:41AM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/23/23 10:05AM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/26/23 10:10AM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/26/23 11:11PM] Narutoesafk used command ::afk | Player rights = PLAYER	
[4/27/23 12:01AM] Narutoesafk used command ::afk | Player rights = PLAYER	
