[4/18/23 09:25PM] F3ez used command ::refer | Player rights = PLAYER	
[4/18/23 09:27PM] F3ez used command ::hidepets | Player rights = PLAYER	
[4/18/23 09:27PM] F3ez used command ::commands | Player rights = PLAYER	
[4/18/23 09:28PM] F3ez used command ::checkdaily | Player rights = PLAYER	
[4/18/23 09:30PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 09:30PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 09:33PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 09:33PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 09:34PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 09:39PM] F3ez used command ::home | Player rights = PLAYER	
[4/18/23 09:41PM] F3ez used command ::train | Player rights = PLAYER	
[4/18/23 09:41PM] F3ez used command ::max | Player rights = PLAYER	
[4/18/23 09:41PM] F3ez used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:42PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 09:43PM] F3ez used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:47PM] F3ez used command ::bank | Player rights = PLAYER	
[4/18/23 09:48PM] F3ez used command ::vote | Player rights = PLAYER	
[4/18/23 09:51PM] F3ez used command ::raids | Player rights = PLAYER	
[4/18/23 09:52PM] F3ez used command ::home | Player rights = PLAYER	
[4/18/23 09:54PM] F3ez used command ::meruem | Player rights = PLAYER	
[4/18/23 09:55PM] F3ez used command ::home | Player rights = PLAYER	
[4/18/23 09:57PM] F3ez used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 09:59PM] F3ez used command ::train | Player rights = PLAYER	
[4/18/23 10:01PM] F3ez used command ::train | Player rights = PLAYER	
[4/18/23 10:02PM] F3ez used command ::donate | Player rights = PLAYER	
[4/18/23 10:05PM] F3ez used command ::train | Player rights = PLAYER	
[4/18/23 10:06PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 10:06PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 10:11PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 10:15PM] F3ez used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:15PM] F3ez used command ::Train | Player rights = PLAYER	
[4/18/23 10:17PM] F3ez used command ::voteboss | Player rights = PLAYER	
[4/18/23 10:21PM] F3ez used command ::Train | Player rights = PLAYER	
[4/18/23 10:35PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 10:38PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 10:39PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 10:40PM] F3ez used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:45PM] F3ez used command ::meruem | Player rights = PLAYER	
