[4/20/23 09:38PM] To used command ::afk | Player rights = PLAYER	
[4/20/23 09:41PM] To used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 11:06AM] To used command ::afk | Player rights = PLAYER	
[4/21/23 12:10PM] To used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 11:40PM] To used command ::afk | Player rights = PLAYER	
[4/22/23 04:28AM] To used command ::afk | Player rights = PLAYER	
[4/22/23 04:28AM] To used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 04:31AM] To used command ::afk | Player rights = PLAYER	
[4/22/23 10:51AM] To used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 02:58AM] To used command ::afk | Player rights = PLAYER	
[4/23/23 04:13AM] To used command ::afk | Player rights = PLAYER	
[4/23/23 09:44AM] To used command ::afk | Player rights = PLAYER	
[4/23/23 10:18AM] To used command ::afk | Player rights = PLAYER	
[4/23/23 12:25PM] To used command ::afk | Player rights = PLAYER	
[4/26/23 01:12AM] To used command ::afk | Player rights = PLAYER	
[4/26/23 02:20AM] To used command ::afk | Player rights = PLAYER	
[4/26/23 03:05AM] To used command ::afk | Player rights = PLAYER	
[4/26/23 03:28AM] To used command ::afk | Player rights = PLAYER	
[4/26/23 03:44AM] To used command ::home | Player rights = PLAYER	
[4/26/23 03:45AM] To used command ::afk | Player rights = PLAYER	
[4/26/23 04:43AM] To used command ::reward 1 all | Player rights = PLAYER	
[4/27/23 09:08PM] To used command ::afk | Player rights = PLAYER	
[4/27/23 09:41PM] To used command ::reward  1 all | Player rights = PLAYER	
[4/27/23 09:41PM] To used command ::reward 1 all | Player rights = PLAYER	
