[4/15/23 02:29PM] Jig Saw used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Jig Saw used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:30PM] Jig Saw used command ::mirom | Player rights = PLAYER	
[4/15/23 02:30PM] Jig Saw used command ::home | Player rights = PLAYER	
[4/15/23 02:30PM] Jig Saw used command ::train | Player rights = PLAYER	
[4/15/23 02:35PM] Jig Saw used command ::train | Player rights = PLAYER	
[4/15/23 07:21PM] Jig Saw used command ::train | Player rights = PLAYER	
[4/15/23 07:21PM] Jig Saw used command ::totem | Player rights = PLAYER	
[4/15/23 07:21PM] Jig Saw used command ::train | Player rights = PLAYER	
[4/15/23 07:25PM] Jig Saw used command ::home | Player rights = PLAYER	
[4/15/23 07:26PM] Jig Saw used command ::train | Player rights = PLAYER	
[4/15/23 07:29PM] Jig Saw used command ::veigar | Player rights = PLAYER	
[4/15/23 07:30PM] Jig Saw used command ::ninetails | Player rights = PLAYER	
[4/15/23 07:32PM] Jig Saw used command ::Train | Player rights = PLAYER	
[4/15/23 07:36PM] Jig Saw used command ::home | Player rights = PLAYER	
[4/15/23 07:48PM] Jig Saw used command ::teleport | Player rights = PLAYER	
[4/15/23 07:49PM] Jig Saw used command ::voeboss | Player rights = PLAYER	
[4/15/23 07:49PM] Jig Saw used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:53PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:06PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:06PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Jig Saw used command ::ninentails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:34PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:05PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:09PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:18PM] Jig Saw used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:21PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Jig Saw used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:33PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] Jig Saw used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:32AM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jig Saw used command ::merurm | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:34PM] Jig Saw used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:35PM] Jig Saw used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:35PM] Jig Saw used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:35PM] Jig Saw used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:35PM] Jig Saw used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:00PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:25PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29PM] Jig Saw used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29PM] Jig Saw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:41PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:46PM] Jig Saw used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:55PM] Jig Saw used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:57PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:00PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:01PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:03PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:05PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:07PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:13PM] Jig Saw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:20PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:27PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:31PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
