[4/17/23 12:40PM] Nobledefeat used command ::bank | Player rights = PLAYER	
[4/17/23 12:40PM] Nobledefeat used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:41PM] Nobledefeat used command ::train | Player rights = PLAYER	
[4/17/23 12:42PM] Nobledefeat used command ::train | Player rights = PLAYER	
[4/17/23 12:50PM] Nobledefeat used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 12:51PM] Nobledefeat used command ::home | Player rights = PLAYER	
[4/17/23 12:53PM] Nobledefeat used command ::ref | Player rights = PLAYER	
[4/17/23 12:54PM] Nobledefeat used command ::train | Player rights = PLAYER	
[4/17/23 01:03PM] Nobledefeat used command ::veigar | Player rights = PLAYER	
[4/17/23 01:04PM] Nobledefeat used command ::train | Player rights = PLAYER	
[4/17/23 01:06PM] Nobledefeat used command ::home | Player rights = PLAYER	
[4/17/23 01:13PM] Nobledefeat used command ::boss | Player rights = PLAYER	
[4/17/23 01:15PM] Nobledefeat used command ::zinqrux | Player rights = PLAYER	
[4/17/23 01:24PM] Nobledefeat used command ::home | Player rights = PLAYER	
[4/17/23 01:31PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:32PM] Nobledefeat used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:42PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:51PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:03PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:04PM] Nobledefeat used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:06PM] Nobledefeat used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:08PM] Nobledefeat used command ::voteshop | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:14PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:50PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Nobledefeat used command :: veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Nobledefeat used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Nobledefeat used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:03PM] Nobledefeat used command :::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:03PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:26PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:32PM] Nobledefeat used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:47PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:54PM] Nobledefeat used command ::home | Player rights = GRACEFUL_DONATOR	
