[4/21/23 07:10PM] Stanleysteam used command ::vote | Player rights = PLAYER	
[4/21/23 07:11PM] Stanleysteam used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 07:14PM] Stanleysteam used command ::red | Player rights = PLAYER	
[4/21/23 07:14PM] Stanleysteam used command ::ref | Player rights = PLAYER	
[4/21/23 07:17PM] Stanleysteam used command ::bank | Player rights = PLAYER	
[4/21/23 07:17PM] Stanleysteam used command ::home | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::startertasks | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::starter | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::dailyrewards | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::daily | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::commands | Player rights = PLAYER	
[4/21/23 07:23PM] Stanleysteam used command ::rewards | Player rights = PLAYER	
[4/21/23 07:25PM] Stanleysteam used command ::commands | Player rights = PLAYER	
[4/21/23 07:26PM] Stanleysteam used command ::checkdaily | Player rights = PLAYER	
[4/21/23 07:26PM] Stanleysteam used command ::checkdaily | Player rights = PLAYER	
[4/21/23 07:26PM] Stanleysteam used command ::tasks | Player rights = PLAYER	
[4/21/23 07:28PM] Stanleysteam used command ::train | Player rights = PLAYER	
[4/21/23 07:30PM] Stanleysteam used command ::train | Player rights = PLAYER	
[4/21/23 07:32PM] Stanleysteam used command ::totem | Player rights = PLAYER	
[4/21/23 07:32PM] Stanleysteam used command ::train | Player rights = PLAYER	
[4/21/23 07:32PM] Stanleysteam used command ::veigar | Player rights = PLAYER	
[4/21/23 07:35PM] Stanleysteam used command ::train | Player rights = PLAYER	
[4/21/23 07:35PM] Stanleysteam used command ::train | Player rights = PLAYER	
[4/21/23 07:36PM] Stanleysteam used command ::shops | Player rights = PLAYER	
[4/21/23 07:36PM] Stanleysteam used command ::commands | Player rights = PLAYER	
[4/21/23 07:36PM] Stanleysteam used command ::shops | Player rights = PLAYER	
[4/21/23 07:37PM] Stanleysteam used command ::home | Player rights = PLAYER	
[4/21/23 07:50PM] Stanleysteam used command ::pos | Player rights = PLAYER	
[4/21/23 07:50PM] Stanleysteam used command ::home | Player rights = PLAYER	
[4/21/23 07:52PM] Stanleysteam used command ::collector | Player rights = PLAYER	
[4/21/23 07:52PM] Stanleysteam used command ::collection | Player rights = PLAYER	
[4/21/23 08:02PM] Stanleysteam used command ::veigar | Player rights = PLAYER	
[4/21/23 08:11PM] Stanleysteam used command ::collection | Player rights = PLAYER	
[4/21/23 08:13PM] Stanleysteam used command ::collection | Player rights = PLAYER	
[4/21/23 08:13PM] Stanleysteam used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:21PM] Stanleysteam used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:26PM] Stanleysteam used command ::collection | Player rights = GRACEFUL_DONATOR	
