[4/22/23 06:09AM] Ragnar used command ::ref  | Player rights = PLAYER	
[4/22/23 06:09AM] Ragnar used command ::ref | Player rights = PLAYER	
[4/22/23 06:10AM] Ragnar used command ::ref | Player rights = PLAYER	
[4/22/23 06:13AM] Ragnar used command ::starter | Player rights = PLAYER	
[4/22/23 06:29AM] Ragnar used command ::dr | Player rights = PLAYER	
[4/22/23 06:31AM] Ragnar used command ::dr | Player rights = PLAYER	
[4/22/23 06:32AM] Ragnar used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34AM] Ragnar used command ::pos | Player rights = PLAYER	
[4/22/23 06:36AM] Ragnar used command ::Dr | Player rights = PLAYER	
[4/22/23 06:36AM] Ragnar used command ::starter | Player rights = PLAYER	
[4/22/23 06:36AM] Ragnar used command ::junk | Player rights = PLAYER	
[4/22/23 06:48AM] Ragnar used command ::shops | Player rights = PLAYER	
[4/22/23 06:48AM] Ragnar used command ::shops | Player rights = PLAYER	
[4/22/23 07:02AM] Ragnar used command ::npckills | Player rights = PLAYER	
[4/22/23 07:02AM] Ragnar used command ::veigar | Player rights = PLAYER	
[4/22/23 07:04AM] Ragnar used command ::dr | Player rights = PLAYER	
[4/22/23 07:30AM] Ragnar used command ::afk | Player rights = PLAYER	
[4/22/23 07:31AM] Ragnar used command ::afk | Player rights = PLAYER	
[4/22/23 09:39AM] Ragnar used command ::ref | Player rights = PLAYER	
[4/22/23 09:39AM] Ragnar used command ::refer | Player rights = PLAYER	
[4/22/23 09:41AM] Ragnar used command ::hi | Player rights = PLAYER	
[4/22/23 09:49AM] Ragnar used command ::refer | Player rights = PLAYER	
[4/22/23 09:55AM] Ragnar used command ::perk | Player rights = PLAYER	
[4/22/23 12:33PM] Ragnar used command ::veigar | Player rights = PLAYER	
