[4/15/23 08:31AM] Dup used command ::bank | Player rights = PLAYER	
[4/15/23 08:36AM] Dup used command ::referral | Player rights = PLAYER	
[4/15/23 08:39AM] Dup used command ::store | Player rights = PLAYER	
[4/15/23 08:41AM] Dup used command ::train | Player rights = PLAYER	
[4/15/23 09:05AM] Dup used command ::claim | Player rights = PLAYER	
[4/15/23 09:07AM] Dup used command ::claim | Player rights = PLAYER	
[4/15/23 09:10AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 09:10AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 09:12AM] Dup used command ::dissolveall | Player rights = CLERIC_DONATOR	
[4/15/23 09:13AM] Dup used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 09:14AM] Dup used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 09:17AM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 09:17AM] Dup used command ::reward1all | Player rights = CLERIC_DONATOR	
[4/15/23 09:17AM] Dup used command ::commands | Player rights = CLERIC_DONATOR	
[4/15/23 09:18AM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 09:18AM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 09:18AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 09:19AM] Dup used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 09:20AM] Dup used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/15/23 09:21AM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 09:21AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 09:21AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 09:22AM] Dup used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 09:27AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:30AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 09:31AM] Dup used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 09:32AM] Dup used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 09:37AM] Dup used command ::kc | Player rights = CLERIC_DONATOR	
[4/15/23 09:38AM] Dup used command ::killcount | Player rights = CLERIC_DONATOR	
[4/15/23 09:57AM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 09:59AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:59AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 10:29AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 10:29AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 10:30AM] Dup used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 10:30AM] Dup used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 10:36AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 10:59AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 10:59AM] Dup used command ::nietails | Player rights = CLERIC_DONATOR	
[4/15/23 10:59AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 12:59PM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 12:59PM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 01:03PM] Dup used command ::VOTE | Player rights = CLERIC_DONATOR	
[4/15/23 01:05PM] Dup used command ::BANK | Player rights = CLERIC_DONATOR	
[4/15/23 01:05PM] Dup used command ::home | Player rights = CLERIC_DONATOR	
