[4/18/23 12:40PM] Own3c3llg0d used command ::referral | Player rights = PLAYER	
[4/18/23 12:41PM] Own3c3llg0d used command ::veigar | Player rights = PLAYER	
[4/18/23 12:41PM] Own3c3llg0d used command ::ref | Player rights = PLAYER	
[4/18/23 12:45PM] Own3c3llg0d used command ::bank | Player rights = PLAYER	
[4/18/23 12:46PM] Own3c3llg0d used command ::vote | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::claimvote | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::claimvote | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::claimvotes | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::claimvote  | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/18/23 12:48PM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/18/23 01:11PM] Own3c3llg0d used command ::veigar | Player rights = PLAYER	
[4/18/23 06:32PM] Own3c3llg0d used command ::kc | Player rights = PLAYER	
[4/18/23 06:41PM] Own3c3llg0d used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] Own3c3llg0d used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:45PM] Own3c3llg0d used command ::meruem | Player rights = PLAYER	
[4/19/23 08:55AM] Own3c3llg0d used command ::vboss | Player rights = PLAYER	
[4/19/23 08:55AM] Own3c3llg0d used command ::vote | Player rights = PLAYER	
[4/19/23 08:57AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 08:58AM] Own3c3llg0d used command ::reward 1 | Player rights = PLAYER	
[4/19/23 09:03AM] Own3c3llg0d used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:03AM] Own3c3llg0d used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:03AM] Own3c3llg0d used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::rewards | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:04AM] Own3c3llg0d used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:35PM] Own3c3llg0d used command ::home | Player rights = GRACEFUL_DONATOR	
