[4/16/23 06:53PM] Sam used command ::veigar | Player rights = PLAYER	
[4/16/23 06:57PM] Sam used command ::train | Player rights = PLAYER	
[4/16/23 06:58PM] Sam used command ::ref ents | Player rights = PLAYER	
[4/16/23 07:02PM] Sam used command ::train | Player rights = PLAYER	
[4/16/23 07:02PM] Sam used command ::vboss | Player rights = PLAYER	
[4/16/23 07:03PM] Sam used command ::train | Player rights = PLAYER	
[4/16/23 07:06PM] Sam used command ::train | Player rights = PLAYER	
[4/16/23 07:23PM] Sam used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24PM] Sam used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:25PM] Sam used command ::ape | Player rights = PLAYER	
[4/16/23 07:25PM] Sam used command ::golden | Player rights = PLAYER	
[4/16/23 07:26PM] Sam used command ::meruem | Player rights = PLAYER	
[4/16/23 07:45PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:45PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:45PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:45PM] Sam used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24PM] Sam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25PM] Sam used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25PM] Sam used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:27PM] Sam used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:27PM] Sam used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:27PM] Sam used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:30PM] Sam used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:32PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Sam used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Sam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Sam used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Sam used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:34PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40PM] Sam used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40PM] Sam used command ::b | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40PM] Sam used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40PM] Sam used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:02PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:31PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33PM] Sam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:33PM] Sam used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Sam used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:02PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:32PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:33PM] Sam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:45PM] Sam used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Sam used command ::veigar | Player rights = GRACEFUL_DONATOR	
