[4/20/23 04:16AM] 2 used command ::train | Player rights = PLAYER	
[4/20/23 04:25AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 04:29AM] 2 used command ::pvm | Player rights = PLAYER	
[4/20/23 04:39AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 04:41AM] 2 used command ::donate | Player rights = PLAYER	
[4/20/23 04:43AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 04:43AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 04:52AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 04:56AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 05:03AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 05:05AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 05:11AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:12AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:12AM] 2 used command ::home | Player rights = PLAYER	
[4/20/23 05:15AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:17AM] 2 used command ::ref | Player rights = PLAYER	
[4/20/23 05:20AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:20AM] 2 used command ::veigar | Player rights = PLAYER	
[4/20/23 05:24AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:32AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:37AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:46AM] 2 used command ::slayer | Player rights = PLAYER	
[4/20/23 05:50AM] 2 used command ::ref wildchaos | Player rights = PLAYER	
[4/20/23 05:50AM] 2 used command ::vboss | Player rights = PLAYER	
[4/20/23 05:50AM] 2 used command ::vote | Player rights = PLAYER	
[4/20/23 05:54AM] 2 used command ::reward 1 | Player rights = PLAYER	
[4/20/23 05:57AM] 2 used command ::ref | Player rights = PLAYER	
[4/20/23 06:08AM] 2 used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:08AM] 2 used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:08AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:11AM] 2 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:11AM] 2 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:13AM] 2 used command ::w3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:13AM] 2 used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:15AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] 2 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] 2 used command ::9tails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] 2 used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] 2 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] 2 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:28AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:32AM] 2 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:32AM] 2 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:41AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:50AM] 2 used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] 2 used command ::yellowboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] 2 used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:54AM] 2 used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:59AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:01AM] 2 used command ::slayer | Player rights = GRACEFUL_DONATOR	
