[4/23/23 02:59AM] Whilly used command ::ref | Player rights = PLAYER	
[4/23/23 03:00AM] Whilly used command ::Save | Player rights = PLAYER	
[4/23/23 03:33AM] Whilly used command ::totem | Player rights = PLAYER	
[4/23/23 03:40AM] Whilly used command ::voteboss | Player rights = PLAYER	
[4/23/23 03:53AM] Whilly used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:53AM] Whilly used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:44PM] Whilly used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:31AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:33AM] Whilly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:34AM] Whilly used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:36AM] Whilly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 04:49AM] Whilly used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:01AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:01AM] Whilly used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/24/23 05:04AM] Whilly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:01AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:08AM] Whilly used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:11AM] Whilly used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:17AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:21AM] Whilly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:24AM] Whilly used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:26AM] Whilly used command ::votebos | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:26AM] Whilly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:26AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:26AM] Whilly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:29AM] Whilly used command ::wzone | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:29AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:30AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:30AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:31AM] Whilly used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:31AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:32AM] Whilly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:33AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:33AM] Whilly used command ::dolden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:33AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:33AM] Whilly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:01AM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:29AM] Whilly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:45AM] Whilly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:32PM] Whilly used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:31PM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 12:01PM] Whilly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 12:17PM] Whilly used command ::instance | Player rights = GRACEFUL_DONATOR	
