[4/20/23 02:29PM] Legion919 used command ::vote | Player rights = PLAYER	
[4/20/23 02:30PM] Legion919 used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 02:49PM] Legion919 used command ::veigar | Player rights = PLAYER	
[4/20/23 02:50PM] Legion919 used command ::vboss | Player rights = PLAYER	
[4/21/23 01:23PM] Legion919 used command ::vote | Player rights = PLAYER	
[4/21/23 01:24PM] Legion919 used command ::claimvote | Player rights = PLAYER	
[4/21/23 01:24PM] Legion919 used command ::claimvotes | Player rights = PLAYER	
[4/21/23 01:25PM] Legion919 used command ::voted | Player rights = PLAYER	
[4/21/23 01:25PM] Legion919 used command ::claimvote | Player rights = PLAYER	
[4/21/23 01:31PM] Legion919 used command ::claimvote | Player rights = PLAYER	
[4/21/23 01:32PM] Legion919 used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:32PM] Legion919 used command ::veigar | Player rights = PLAYER	
[4/21/23 01:34PM] Legion919 used command ::ninetails | Player rights = PLAYER	
[4/22/23 11:47AM] Legion919 used command ::vote | Player rights = PLAYER	
[4/22/23 11:47AM] Legion919 used command ::claimvote | Player rights = PLAYER	
[4/22/23 11:48AM] Legion919 used command ::voted | Player rights = PLAYER	
[4/22/23 11:48AM] Legion919 used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 11:59AM] Legion919 used command ::voteboss | Player rights = PLAYER	
[4/22/23 12:03PM] Legion919 used command ::veigar | Player rights = PLAYER	
[4/22/23 12:32PM] Legion919 used command ::veigar | Player rights = PLAYER	
[4/22/23 12:33PM] Legion919 used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:34PM] Legion919 used command ::meruem | Player rights = PLAYER	
