[4/18/23 07:46AM] Jackal used command ::Ref | Player rights = PLAYER	
[4/18/23 07:46AM] Jackal used command ::ref | Player rights = PLAYER	
[4/18/23 07:56AM] Jackal used command ::upgrade | Player rights = PLAYER	
[4/18/23 08:11AM] Jackal used command ::veigar | Player rights = PLAYER	
[4/18/23 08:41AM] Jackal used command ::veigar | Player rights = PLAYER	
[4/18/23 08:51AM] Jackal used command ::collection | Player rights = PLAYER	
[4/18/23 08:52AM] Jackal used command ::collection | Player rights = PLAYER	
[4/18/23 09:01AM] Jackal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:01AM] Jackal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:10AM] Jackal used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11AM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11AM] Jackal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11AM] Jackal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:12AM] Jackal used command ::reawrd 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:12AM] Jackal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:14AM] Jackal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:23AM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Jackal used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:04PM] Jackal used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:23PM] Jackal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:29PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:29PM] Jackal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:29PM] Jackal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:30PM] Jackal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Jackal used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Jackal used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Jackal used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:27PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:39PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11PM] Jackal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:16PM] Jackal used command ::DR | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Jackal used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Jackal used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Jackal used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45PM] Jackal used command ::::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45PM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:26PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42PM] Jackal used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:56PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:04PM] Jackal used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:11PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:39PM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43PM] Jackal used command ::ninetailes | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:44PM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:45PM] Jackal used command ::meurum | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:45PM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:29AM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:31AM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:32AM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:35AM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:48AM] Jackal used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:48AM] Jackal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53AM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:59AM] Jackal used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:00AM] Jackal used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:07AM] Jackal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:21AM] Jackal used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:21AM] Jackal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Jackal used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Jackal used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:25AM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:39AM] Jackal used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:05AM] Jackal used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:08AM] Jackal used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Jackal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Jackal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Jackal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:17AM] Jackal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Jackal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:23AM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:36AM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Jackal used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Jackal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
