[4/22/23 05:58PM] Rozaro used command ::ref fpkmerk | Player rights = PLAYER	
[4/22/23 05:58PM] Rozaro used command ::ref fpkmerk | Player rights = PLAYER	
[4/22/23 06:00PM] Rozaro used command ::train | Player rights = PLAYER	
[4/22/23 06:06PM] Rozaro used command ::ref | Player rights = PLAYER	
[4/22/23 06:09PM] Rozaro used command ::ref | Player rights = PLAYER	
[4/22/23 06:33PM] Rozaro used command ::veigar | Player rights = PLAYER	
[4/23/23 04:09AM] Rozaro used command ::pos | Player rights = PLAYER	
[4/23/23 04:09AM] Rozaro used command ::home | Player rights = PLAYER	
[4/23/23 04:09AM] Rozaro used command ::pos | Player rights = PLAYER	
[4/23/23 04:09AM] Rozaro used command ::pos | Player rights = PLAYER	
[4/23/23 04:30AM] Rozaro used command ::home | Player rights = PLAYER	
[4/23/23 04:31AM] Rozaro used command ::vote | Player rights = PLAYER	
[4/23/23 04:31AM] Rozaro used command ::voteboss | Player rights = PLAYER	
[4/23/23 05:03AM] Rozaro used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:07AM] Rozaro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:22AM] Rozaro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:29AM] Rozaro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:35AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:38AM] Rozaro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:04AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Rozaro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:11AM] Rozaro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:21AM] Rozaro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:23AM] Rozaro used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:24AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:27AM] Rozaro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:37AM] Rozaro used command ::rewards 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:37AM] Rozaro used command ::rewards 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:37AM] Rozaro used command ::rewards 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:52AM] Rozaro used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Rozaro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Rozaro used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Rozaro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Rozaro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Rozaro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:59AM] Rozaro used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:05AM] Rozaro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:41AM] Rozaro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:44AM] Rozaro used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Rozaro used command ::veigar | Player rights = GRACEFUL_DONATOR	
