[4/20/23 05:03PM] Ironmen used command ::Ref | Player rights = PLAYER	
[4/20/23 05:07PM] Ironmen used command ::train | Player rights = PLAYER	
[4/20/23 05:09PM] Ironmen used command ::upgrade | Player rights = PLAYER	
[4/20/23 05:31PM] Ironmen used command ::shops | Player rights = PLAYER	
[4/22/23 11:37AM] Ironmen used command ::bank | Player rights = PLAYER	
[4/22/23 11:55AM] Ironmen used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Ironmen used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Ironmen used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Ironmen used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Ironmen used command ::di | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:55AM] Ironmen used command ::donatorzone | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Ironmen used command ::veigar | Player rights = GRACEFUL_DONATOR	
