[4/16/23 08:16AM] Gim K0000 used command ::vote | Player rights = PLAYER	
[4/16/23 08:17AM] Gim K0000 used command ::rewards 1 all | Player rights = PLAYER	
[4/16/23 08:20AM] Gim K0000 used command ::store | Player rights = PLAYER	
[4/16/23 08:21AM] Gim K0000 used command ::claim | Player rights = PLAYER	
[4/16/23 08:22AM] Gim K0000 used command ::claim | Player rights = PLAYER	
[4/16/23 08:23AM] Gim K0000 used command ::veigar | Player rights = PLAYER	
[4/16/23 08:23AM] Gim K0000 used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:24AM] Gim K0000 used command ::golden | Player rights = PLAYER	
[4/16/23 08:33AM] Gim K0000 used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:09AM] Gim K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Gim K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Gim K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Gim K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:43AM] Gim K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Gim K0000 used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Gim K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Gim K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Gim K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Gim K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Gim K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:05AM] Gim K0000 used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 11:22AM] Gim K0000 used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Gim K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 04:09PM] Gim K0000 used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 04:22PM] Gim K0000 used command ::discord | Player rights = CLERIC_DONATOR	
[4/17/23 04:28PM] Gim K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 04:28PM] Gim K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 04:31PM] Gim K0000 used command ::toem | Player rights = CLERIC_DONATOR	
[4/17/23 04:31PM] Gim K0000 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Gim K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Gim K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Gim K0000 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] Gim K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
