[4/16/23 12:19PM] Malevolent used command ::Trian | Player rights = PLAYER	
[4/16/23 12:19PM] Malevolent used command ::starter | Player rights = PLAYER	
[4/16/23 12:23PM] Malevolent used command ::veigar | Player rights = PLAYER	
[4/16/23 12:24PM] Malevolent used command ::starter | Player rights = PLAYER	
[4/16/23 12:34PM] Malevolent used command ::vote | Player rights = PLAYER	
[4/16/23 12:35PM] Malevolent used command ::reard 1 | Player rights = PLAYER	
[4/16/23 12:35PM] Malevolent used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 12:54PM] Malevolent used command ::veigar | Player rights = PLAYER	
[4/16/23 12:54PM] Malevolent used command ::starter | Player rights = PLAYER	
[4/16/23 01:25PM] Malevolent used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 01:26PM] Malevolent used command ::ref | Player rights = PLAYER	
[4/16/23 01:34PM] Malevolent used command ::train | Player rights = PLAYER	
[4/16/23 01:35PM] Malevolent used command ::Daily | Player rights = PLAYER	
[4/16/23 01:53PM] Malevolent used command ::veigar | Player rights = PLAYER	
[4/16/23 01:57PM] Malevolent used command ::voteboss | Player rights = PLAYER	
[4/16/23 02:23PM] Malevolent used command ::veigar | Player rights = PLAYER	
[4/16/23 02:23PM] Malevolent used command ::golden | Player rights = PLAYER	
[4/16/23 02:24PM] Malevolent used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:24PM] Malevolent used command ::golden | Player rights = PLAYER	
[4/22/23 06:49AM] Malevolent used command ::bank | Player rights = PLAYER	
[4/22/23 06:49AM] Malevolent used command ::bank | Player rights = PLAYER	
[4/22/23 06:53AM] Malevolent used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:53AM] Malevolent used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:56AM] Malevolent used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:57AM] Malevolent used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02AM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:04AM] Malevolent used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:13AM] Malevolent used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:28AM] Malevolent used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:02AM] Malevolent used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] Malevolent used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Malevolent used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Malevolent used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Malevolent used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Malevolent used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Malevolent used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:38AM] Malevolent used command ::Daily | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:38AM] Malevolent used command ::Starter | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:38AM] Malevolent used command ::Ref | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Malevolent used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02AM] Malevolent used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:16AM] Malevolent used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32AM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33AM] Malevolent used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] Malevolent used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:37AM] Malevolent used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:38AM] Malevolent used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] Malevolent used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:58AM] Malevolent used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:07PM] Malevolent used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Malevolent used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Malevolent used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Malevolent used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:18AM] Malevolent used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:19AM] Malevolent used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:19AM] Malevolent used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:19AM] Malevolent used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:19AM] Malevolent used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:19AM] Malevolent used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::Claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::Reward1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:20AM] Malevolent used command ::cliamvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:21AM] Malevolent used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:31AM] Malevolent used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:34AM] Malevolent used command ::veigar | Player rights = GRACEFUL_DONATOR	
