[4/17/23 04:29AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:31AM] Zeafaw used command ::refer | Player rights = PLAYER	
[4/17/23 04:31AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 04:32AM] Zeafaw used command ::bank | Player rights = PLAYER	
[4/17/23 04:33AM] Zeafaw used command ::bank | Player rights = PLAYER	
[4/17/23 04:33AM] Zeafaw used command ::bank | Player rights = PLAYER	
[4/17/23 04:33AM] Zeafaw used command ::zones | Player rights = PLAYER	
[4/17/23 04:34AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:34AM] Zeafaw used command ::bank | Player rights = PLAYER	
[4/17/23 04:34AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 04:35AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:36AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 04:36AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:37AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:40AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:40AM] Zeafaw used command ::veingar | Player rights = PLAYER	
[4/17/23 04:40AM] Zeafaw used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Zeafaw used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:41AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 04:45AM] Zeafaw used command ::bank | Player rights = PLAYER	
[4/17/23 04:46AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:50AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 04:55AM] Zeafaw used command ::train | Player rights = PLAYER	
[4/17/23 05:08AM] Zeafaw used command ::totem | Player rights = PLAYER	
[4/17/23 05:09AM] Zeafaw used command ::veigar | Player rights = PLAYER	
[4/17/23 05:13AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 05:39AM] Zeafaw used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Zeafaw used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:42AM] Zeafaw used command ::merum | Player rights = PLAYER	
[4/17/23 05:43AM] Zeafaw used command ::meruem | Player rights = PLAYER	
[4/17/23 05:43AM] Zeafaw used command ::home | Player rights = PLAYER	
[4/17/23 05:44AM] Zeafaw used command ::voteboss | Player rights = PLAYER	
[4/17/23 06:09AM] Zeafaw used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Zeafaw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Zeafaw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:42AM] Zeafaw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:42AM] Zeafaw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:43AM] Zeafaw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11AM] Zeafaw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:12AM] Zeafaw used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:28AM] Zeafaw used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:28AM] Zeafaw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:33AM] Zeafaw used command ::yellowboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:33AM] Zeafaw used command ::luci | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:33AM] Zeafaw used command ::lucifer | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:45AM] Zeafaw used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:45AM] Zeafaw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:35PM] Zeafaw used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43PM] Zeafaw used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46PM] Zeafaw used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46PM] Zeafaw used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46PM] Zeafaw used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:47PM] Zeafaw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:47PM] Zeafaw used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:49PM] Zeafaw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:53PM] Zeafaw used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:05AM] Zeafaw used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 12:09AM] Zeafaw used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:41AM] Zeafaw used command ::mine | Player rights = CLERIC_DONATOR	
[4/22/23 08:41AM] Zeafaw used command ::mining | Player rights = CLERIC_DONATOR	
[4/22/23 09:18AM] Zeafaw used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 09:20AM] Zeafaw used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:32AM] Zeafaw used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:33AM] Zeafaw used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 09:34AM] Zeafaw used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 09:34AM] Zeafaw used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Zeafaw used command ::vboss | Player rights = CLERIC_DONATOR	
