[4/19/23 12:50PM] Gerx used command ::zones | Player rights = PLAYER	
[4/19/23 12:50PM] Gerx used command ::zones | Player rights = PLAYER	
[4/26/23 03:44AM] Gerx used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:46AM] Gerx used command ::npc  | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:54AM] Gerx used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:07AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:10AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:13AM] Gerx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:13AM] Gerx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:37AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:38AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:39AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:43AM] Gerx used command ::yell anyone selling infinite overload t3? | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:47AM] Gerx used command ::yell buying overload t3 ! | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:02AM] Gerx used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:03AM] Gerx used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:03AM] Gerx used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:03AM] Gerx used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:04AM] Gerx used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:06AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:07AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 12:35PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 12:37PM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:05PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:06PM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:07PM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:07PM] Gerx used command ::yell buying overload t3 | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:14PM] Gerx used command ::yell buying infinite overload t3 | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:16PM] Gerx used command ::store | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:20PM] Gerx used command ::yell buying infinite overload t3 ! pm me | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:27PM] Gerx used command ::store | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:33PM] Gerx used command ::yell buying infinite overload t3! pm me  | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:35PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:36PM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:46PM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:50PM] Gerx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:05PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:06PM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:24PM] Gerx used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:32PM] Gerx used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:35PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:36PM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:38PM] Gerx used command ::meroum | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:38PM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:49PM] Gerx used command ::Staff | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:05PM] Gerx used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:05PM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:35PM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:35PM] Gerx used command ::viegnar | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:35PM] Gerx used command ::vier ovl | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:35PM] Gerx used command ::vegiar | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:46PM] Gerx used command ::spotify | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:38AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:49AM] Gerx used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:04AM] Gerx used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:05AM] Gerx used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:10AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:10AM] Gerx used command ::votebos | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:10AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:16AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:19AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:37AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:38AM] Gerx used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:06AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:08AM] Gerx used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:08AM] Gerx used command ::mereurm | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:08AM] Gerx used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:08AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:37AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:06AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:08AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:30AM] Gerx used command ::votebosss | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:30AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:37AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:45AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:08AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:08AM] Gerx used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:08AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:29AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:30AM] Gerx used command ::yell everyone ::vote   please!! | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:07AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:10AM] Gerx used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:10AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:37AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:39AM] Gerx used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:40AM] Gerx used command ::yell buying owner cape! pm me | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:17AM] Gerx used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:18AM] Gerx used command ::yell buying owner cape! | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:20AM] Gerx used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:34AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:35AM] Gerx used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:37AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:05AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:06AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:26AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:28AM] Gerx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:33AM] Gerx used command ::yell buying owner cape! | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:36AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:36AM] Gerx used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:37AM] Gerx used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:37AM] Gerx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:35AM] Gerx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:36AM] Gerx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:40AM] Gerx used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
