[4/16/23 08:46AM] Dezero used command ::bank | Player rights = PLAYER	
[4/16/23 08:51AM] Dezero used command ::referral walkchaos | Player rights = PLAYER	
[4/16/23 08:53AM] Dezero used command ::veigar | Player rights = PLAYER	
[4/16/23 08:57AM] Dezero used command ::vote | Player rights = PLAYER	
[4/16/23 08:58AM] Dezero used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 09:05AM] Dezero used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:06AM] Dezero used command ::donate | Player rights = PLAYER	
[4/16/23 09:07AM] Dezero used command ::deals | Player rights = PLAYER	
[4/16/23 09:10AM] Dezero used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Dezero used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Dezero used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Dezero used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Dezero used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:34AM] Dezero used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:34AM] Dezero used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40AM] Dezero used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Dezero used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Dezero used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Dezero used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Dezero used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Dezero used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Dezero used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Dezero used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] Dezero used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:57AM] Dezero used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:58AM] Dezero used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:01AM] Dezero used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:02AM] Dezero used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:15AM] Dezero used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:22AM] Dezero used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:22AM] Dezero used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Dezero used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Dezero used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Dezero used command ::teleport | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Dezero used command ::maxhi | Player rights = CLERIC_DONATOR	
[4/16/23 10:26AM] Dezero used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 10:38AM] Dezero used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:47AM] Dezero used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 10:47AM] Dezero used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:49AM] Dezero used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 10:52AM] Dezero used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:02AM] Dezero used command ::dzone | Player rights = CLERIC_DONATOR	
[4/16/23 11:12AM] Dezero used command ::max | Player rights = CLERIC_DONATOR	
[4/16/23 11:12AM] Dezero used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:12AM] Dezero used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 01:03PM] Dezero used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Dezero used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Dezero used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Dezero used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Dezero used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:26PM] Dezero used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Dezero used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Dezero used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Dezero used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Dezero used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Dezero used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 02:08PM] Dezero used command ::malvek | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Dezero used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:48PM] Dezero used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:48PM] Dezero used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Dezero used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:07PM] Dezero used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Dezero used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Dezero used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Dezero used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Dezero used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Dezero used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:23PM] Dezero used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:24PM] Dezero used command ::iron | Player rights = CLERIC_DONATOR	
[4/20/23 03:40PM] Dezero used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Dezero used command ::claimdonation | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Dezero used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Dezero used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Dezero used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:17AM] Dezero used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 04:32AM] Dezero used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:34AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 04:35AM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 05:02AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
