[4/21/23 03:36PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:36PM] Andrew Tate used command ::afk | Player rights = PLAYER	
[4/21/23 03:37PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:39PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:47PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:51PM] Andrew Tate used command ::doomwatcher | Player rights = PLAYER	
[4/21/23 03:52PM] Andrew Tate used command ::dw | Player rights = PLAYER	
[4/21/23 03:54PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:55PM] Andrew Tate used command ::train | Player rights = PLAYER	
[4/21/23 03:57PM] Andrew Tate used command ::ref | Player rights = PLAYER	
[4/21/23 04:03PM] Andrew Tate used command ::veigar | Player rights = PLAYER	
[4/21/23 04:14PM] Andrew Tate used command ::bank | Player rights = PLAYER	
[4/21/23 06:32PM] Andrew Tate used command ::veigar | Player rights = PLAYER	
[4/21/23 06:33PM] Andrew Tate used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:33PM] Andrew Tate used command ::veigar | Player rights = PLAYER	
[4/21/23 06:33PM] Andrew Tate used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:34PM] Andrew Tate used command ::meruem | Player rights = PLAYER	
[4/21/23 06:35PM] Andrew Tate used command ::vote | Player rights = PLAYER	
[4/21/23 06:35PM] Andrew Tate used command ::vboss | Player rights = PLAYER	
[4/21/23 06:36PM] Andrew Tate used command ::golden | Player rights = PLAYER	
[4/21/23 06:36PM] Andrew Tate used command ::voteboss | Player rights = PLAYER	
[4/21/23 06:37PM] Andrew Tate used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:37PM] Andrew Tate used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38PM] Andrew Tate used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38PM] Andrew Tate used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38PM] Andrew Tate used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38PM] Andrew Tate used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:45PM] Andrew Tate used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:48PM] Andrew Tate used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:03PM] Andrew Tate used command ::veigar | Player rights = GRACEFUL_DONATOR	
