[4/15/23 10:04AM] 3 Evil 3000 used command ::Ref | Player rights = PLAYER	
[4/15/23 10:09AM] 3 Evil 3000 used command ::starter | Player rights = PLAYER	
[4/19/23 01:17PM] 3 Evil 3000 used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:17PM] 3 Evil 3000 used command ::vote | Player rights = PLAYER	
[4/19/23 01:19PM] 3 Evil 3000 used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:19PM] 3 Evil 3000 used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:19PM] 3 Evil 3000 used command ::reward 1 | Player rights = PLAYER	
[4/19/23 01:25PM] 3 Evil 3000 used command ::tarter | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:25PM] 3 Evil 3000 used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:41PM] 3 Evil 3000 used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:50PM] 3 Evil 3000 used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:59PM] 3 Evil 3000 used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:59PM] 3 Evil 3000 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:00PM] 3 Evil 3000 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:00PM] 3 Evil 3000 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:00PM] 3 Evil 3000 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] 3 Evil 3000 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:39AM] 3 Evil 3000 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:41AM] 3 Evil 3000 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:41AM] 3 Evil 3000 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:41AM] 3 Evil 3000 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:41AM] 3 Evil 3000 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:42AM] 3 Evil 3000 used command ::yell selling vote scrolls | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:45AM] 3 Evil 3000 used command ::menu | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:45AM] 3 Evil 3000 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] 3 Evil 3000 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:59AM] 3 Evil 3000 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:25PM] 3 Evil 3000 used command ::yell selling 3 vote scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:29PM] 3 Evil 3000 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:33PM] 3 Evil 3000 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:37PM] 3 Evil 3000 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:41PM] 3 Evil 3000 used command ::yell selling 10 of 1 dollar $1 scrolls on my pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49PM] 3 Evil 3000 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:54AM] 3 Evil 3000 used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:54AM] 3 Evil 3000 used command ::Bank | Player rights = GRACEFUL_DONATOR	
