[4/17/23 01:14PM] Corrupt used command ::finditem billion | Player rights = DEVELOPER	
[4/17/23 01:16PM] Corrupt used command ::id billion | Player rights = DEVELOPER	
[4/17/23 01:16PM] Corrupt used command ::id bil | Player rights = DEVELOPER	
[4/17/23 01:17PM] Corrupt used command ::item 10835 10000 | Player rights = DEVELOPER	
[4/17/23 01:20PM] Corrupt used command ::fly | Player rights = DEVELOPER	
[4/17/23 01:50PM] Corrupt used command ::id owner | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 15834 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 8832 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22111 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22229 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22233 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22232 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22234 | Player rights = DEVELOPER	
[4/17/23 01:51PM] Corrupt used command ::item 22237 | Player rights = DEVELOPER	
[4/17/23 01:52PM] Corrupt used command ::item 22239 | Player rights = DEVELOPER	
[4/17/23 01:52PM] Corrupt used command ::fly | Player rights = DEVELOPER	
[4/17/23 10:25PM] Corrupt used command ::broadcast update is coming soon for pos fix | Player rights = DEVELOPER	
[4/17/23 10:25PM] Corrupt used command ::yell update is coming soon for pos fix | Player rights = DEVELOPER	
[4/17/23 10:29PM] Corrupt used command ::update 600 | Player rights = DEVELOPER	
[4/17/23 10:41PM] Corrupt used command ::claim | Player rights = DEVELOPER	
[4/17/23 10:42PM] Corrupt used command ::yell let us know if you experience any problems with pos | Player rights = DEVELOPER	
[4/17/23 10:42PM] Corrupt used command ::yell also claiming is back online as well | Player rights = DEVELOPER	
[4/17/23 10:44PM] Corrupt used command ::yell tomorrow i shall work to fix gim and get that back active. enjoy all | Player rights = DEVELOPER	
[4/23/23 09:28AM] Corrupt used command ::update 600 | Player rights = DEVELOPER	
[4/23/23 09:42AM] Corrupt used command ::spawnvote | Player rights = DEVELOPER	
[4/23/23 09:44AM] Corrupt used command ::teleto onlyfans | Player rights = DEVELOPER	
[4/23/23 09:44AM] Corrupt used command ::teleto onlyfans | Player rights = DEVELOPER	
[4/23/23 09:51AM] Corrupt used command ::update 300 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3451 3265 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3442 3264 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3441 3264 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3441 3264 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3440 3266 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3432 3269 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3426 3274 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3415 3271 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3401 3271 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3398 3271 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3392 3260 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3387 3249 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3375 3251 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3367 3253 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3364 3260 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3367 3270 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3370 3275 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::tele 3358 3269 | Player rights = DEVELOPER	
[4/27/23 08:55AM] Corrupt used command ::pos | Player rights = DEVELOPER	
[4/27/23 08:56AM] Corrupt used command ::mypos | Player rights = DEVELOPER	
[4/27/23 09:46AM] Corrupt used command ::item 10835 1000000 | Player rights = DEVELOPER	
[4/27/23 09:49AM] Corrupt used command ::mypos | Player rights = DEVELOPER	
