[4/17/23 11:15AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/17/23 11:15AM] Vafliuss used command ::home | Player rights = PLAYER	
[4/17/23 11:16AM] Vafliuss used command ::shops | Player rights = PLAYER	
[4/17/23 11:17AM] Vafliuss used command ::skilling | Player rights = PLAYER	
[4/17/23 11:17AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/17/23 11:19AM] Vafliuss used command ::home | Player rights = PLAYER	
[4/17/23 11:20AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/19/23 10:03AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/19/23 10:17AM] Vafliuss used command ::home | Player rights = PLAYER	
[4/19/23 10:18AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/20/23 09:17AM] Vafliuss used command ::afk | Player rights = PLAYER	
[4/21/23 08:21AM] Vafliuss used command ::afk | Player rights = PLAYER	
