[4/17/23 01:02PM] Moist used command ::viegar | Player rights = PLAYER	
[4/17/23 01:02PM] Moist used command ::veigar | Player rights = PLAYER	
[4/17/23 01:02PM] Moist used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 01:04PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 01:06PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 01:07PM] Moist used command ::bank | Player rights = PLAYER	
[4/17/23 02:54PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 02:54PM] Moist used command ::bank | Player rights = PLAYER	
[4/17/23 02:54PM] Moist used command ::bank | Player rights = PLAYER	
[4/17/23 02:54PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 02:57PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 02:57PM] Moist used command ::bank | Player rights = PLAYER	
[4/17/23 02:58PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 02:59PM] Moist used command ::voteboss | Player rights = PLAYER	
[4/17/23 03:00PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 03:00PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 03:01PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 03:02PM] Moist used command ::veigar | Player rights = PLAYER	
[4/17/23 03:03PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 03:08PM] Moist used command ::vote | Player rights = PLAYER	
[4/17/23 03:08PM] Moist used command ::train | Player rights = PLAYER	
[4/17/23 03:10PM] Moist used command ::home | Player rights = PLAYER	
[4/17/23 03:11PM] Moist used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:11PM] Moist used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:11PM] Moist used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:13PM] Moist used command ::seasonpass | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:13PM] Moist used command ::daily | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:13PM] Moist used command ::dailies | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:14PM] Moist used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:14PM] Moist used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:36PM] Moist used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Moist used command ::veigar | Player rights = GRACEFUL_DONATOR	
