[4/15/23 12:12PM] Killua used command ::train | Player rights = PLAYER	
[4/15/23 12:21PM] Killua used command ::Starter | Player rights = PLAYER	
[4/15/23 12:22PM] Killua used command ::/what does prestige do? | Player rights = PLAYER	
[4/15/23 12:26PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 12:26PM] Killua used command ::Commands | Player rights = PLAYER	
[4/15/23 12:26PM] Killua used command ::checkdaily | Player rights = PLAYER	
[4/15/23 12:26PM] Killua used command ::Tasks | Player rights = PLAYER	
[4/15/23 12:27PM] Killua used command ::train | Player rights = PLAYER	
[4/15/23 12:27PM] Killua used command ::train2 | Player rights = PLAYER	
[4/15/23 12:27PM] Killua used command ::train2 | Player rights = PLAYER	
[4/15/23 12:28PM] Killua used command ::altar | Player rights = PLAYER	
[4/15/23 12:28PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 12:28PM] Killua used command ::Veigar | Player rights = PLAYER	
[4/15/23 12:29PM] Killua used command ::nails | Player rights = PLAYER	
[4/15/23 12:29PM] Killua used command ::nails | Player rights = PLAYER	
[4/15/23 12:29PM] Killua used command ::nails | Player rights = PLAYER	
[4/15/23 12:29PM] Killua used command ::nail | Player rights = PLAYER	
[4/15/23 12:32PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 12:34PM] Killua used command ::Train | Player rights = PLAYER	
[4/15/23 12:37PM] Killua used command ::Vote | Player rights = PLAYER	
[4/15/23 12:39PM] Killua used command ::claimvote | Player rights = PLAYER	
[4/15/23 12:39PM] Killua used command ::rewards | Player rights = PLAYER	
[4/15/23 12:39PM] Killua used command ::rewards 1 | Player rights = PLAYER	
[4/15/23 12:39PM] Killua used command ::rewards 1 all | Player rights = PLAYER	
[4/15/23 12:42PM] Killua used command ::store | Player rights = PLAYER	
[4/15/23 12:45PM] Killua used command ::voteboss | Player rights = PLAYER	
[4/15/23 12:52PM] Killua used command ::::slayer | Player rights = PLAYER	
[4/15/23 12:52PM] Killua used command ::Slayer | Player rights = PLAYER	
[4/15/23 12:58PM] Killua used command ::veigar | Player rights = PLAYER	
[4/15/23 01:00PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 01:01PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 01:03PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 01:06PM] Killua used command ::slayer | Player rights = PLAYER	
[4/15/23 01:09PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 01:11PM] Killua used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 01:13PM] Killua used command ::slayer | Player rights = PLAYER	
[4/15/23 01:17PM] Killua used command ::home | Player rights = PLAYER	
[4/15/23 01:20PM] Killua used command ::slayer | Player rights = PLAYER	
[4/15/23 01:28PM] Killua used command ::veigar | Player rights = PLAYER	
[4/15/23 01:38PM] Killua used command ::Totem | Player rights = PLAYER	
[4/15/23 01:54PM] Killua used command ::dropoff | Player rights = PLAYER	
[4/15/23 01:56PM] Killua used command ::dropon | Player rights = PLAYER	
[4/15/23 01:58PM] Killua used command ::voteboss | Player rights = PLAYER	
[4/15/23 01:58PM] Killua used command ::veigar | Player rights = PLAYER	
[4/15/23 01:59PM] Killua used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:02PM] Killua used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:04PM] Killua used command ::yell so i got donor now: | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] Killua used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:13PM] Killua used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:13PM] Killua used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:13PM] Killua used command ::home | Player rights = GRACEFUL_DONATOR	
