[4/17/23 01:33PM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/17/23 01:35PM] Geidi Primes used command ::home | Player rights = PLAYER	
[4/17/23 01:35PM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/18/23 12:53AM] Geidi Primes used command ::Afk | Player rights = PLAYER	
[4/23/23 11:02AM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/26/23 05:24AM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/26/23 08:31AM] Geidi Primes used command ::home | Player rights = PLAYER	
[4/26/23 08:32AM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/26/23 12:02PM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/26/23 03:20PM] Geidi Primes used command ::home | Player rights = PLAYER	
[4/26/23 03:21PM] Geidi Primes used command ::afk | Player rights = PLAYER	
[4/27/23 12:14AM] Geidi Primes used command ::home | Player rights = PLAYER	
[4/27/23 12:15AM] Geidi Primes used command ::afk | Player rights = PLAYER	
