[4/19/23 11:37AM] Omen used command ::refer | Player rights = PLAYER	
[4/19/23 11:41AM] Omen used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:44AM] Omen used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Omen used command ::telos | Player rights = PLAYER	
[4/19/23 11:44AM] Omen used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Omen used command ::mereum | Player rights = PLAYER	
[4/19/23 11:45AM] Omen used command ::mereum | Player rights = PLAYER	
[4/19/23 11:45AM] Omen used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Omen used command ::golden | Player rights = PLAYER	
[4/19/23 11:50AM] Omen used command ::train | Player rights = PLAYER	
[4/19/23 11:53AM] Omen used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:03PM] Omen used command ::shops | Player rights = PLAYER	
[4/19/23 12:07PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Omen used command ::home | Player rights = PLAYER	
[4/19/23 12:08PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 12:08PM] Omen used command ::train | Player rights = PLAYER	
[4/19/23 12:13PM] Omen used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Omen used command ::vboss | Player rights = PLAYER	
[4/19/23 12:15PM] Omen used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Omen used command ::golden | Player rights = PLAYER	
[4/19/23 12:40PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 12:43PM] Omen used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Omen used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:54PM] Omen used command ::kc | Player rights = PLAYER	
[4/19/23 12:56PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 01:13PM] Omen used command ::veigar | Player rights = PLAYER	
[4/19/23 01:20PM] Omen used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:34PM] Omen used command ::wzone | Player rights = PLAYER	
[4/19/23 01:43PM] Omen used command ::veigar | Player rights = PLAYER	
[4/19/23 01:49PM] Omen used command ::shops | Player rights = PLAYER	
[4/19/23 01:58PM] Omen used command ::pos | Player rights = PLAYER	
[4/19/23 02:13PM] Omen used command ::veingar | Player rights = PLAYER	
[4/19/23 02:13PM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 05:18AM] Omen used command ::dr | Player rights = PLAYER	
[4/20/23 05:19AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 05:49AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 05:52AM] Omen used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:19AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 06:28AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 06:31AM] Omen used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:31AM] Omen used command ::vote | Player rights = PLAYER	
[4/20/23 06:32AM] Omen used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:44AM] Omen used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 06:50AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 07:19AM] Omen used command ::veigar | Player rights = PLAYER	
[4/20/23 07:34AM] Omen used command ::voteboss | Player rights = PLAYER	
