[4/17/23 12:00PM] Akuna used command ::home | Player rights = PLAYER	
[4/17/23 12:02PM] Akuna used command ::veigar | Player rights = PLAYER	
[4/17/23 12:03PM] Akuna used command ::bank | Player rights = PLAYER	
[4/17/23 12:03PM] Akuna used command ::Vote | Player rights = PLAYER	
[4/17/23 12:04PM] Akuna used command ::bank | Player rights = PLAYER	
[4/17/23 12:04PM] Akuna used command ::bank | Player rights = PLAYER	
[4/17/23 12:04PM] Akuna used command ::Setpin | Player rights = PLAYER	
[4/17/23 12:04PM] Akuna used command ::setpin | Player rights = PLAYER	
[4/17/23 12:04PM] Akuna used command ::changepin  | Player rights = PLAYER	
[4/17/23 12:05PM] Akuna used command ::pos | Player rights = PLAYER	
[4/17/23 12:05PM] Akuna used command ::home | Player rights = PLAYER	
[4/17/23 12:05PM] Akuna used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 12:07PM] Akuna used command ::bank | Player rights = PLAYER	
[4/17/23 12:08PM] Akuna used command ::veigar | Player rights = PLAYER	
[4/17/23 12:08PM] Akuna used command ::curses | Player rights = PLAYER	
[4/17/23 12:09PM] Akuna used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Akuna used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:11PM] Akuna used command ::referral | Player rights = PLAYER	
[4/17/23 12:12PM] Akuna used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Akuna used command ::vboss | Player rights = PLAYER	
[4/17/23 12:15PM] Akuna used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Akuna used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Akuna used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Akuna used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Akuna used command ::Bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Akuna used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Akuna used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:22PM] Akuna used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Akuna used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Akuna used command ::meurem | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Akuna used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:36PM] Akuna used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Akuna used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Akuna used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:43PM] Akuna used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 12:49PM] Akuna used command ::Droprate | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Akuna used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:03PM] Akuna used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:07PM] Akuna used command ::daily | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Akuna used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:39PM] Akuna used command ::starter | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Akuna used command ::veiger | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Akuna used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:57AM] Akuna used command ::voted | Player rights = CLERIC_DONATOR	
[4/18/23 06:57AM] Akuna used command ::voted | Player rights = CLERIC_DONATOR	
[4/18/23 06:57AM] Akuna used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Akuna used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:29AM] Akuna used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Akuna used command ::Veiger | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Akuna used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Akuna used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:46AM] Akuna used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:48AM] Akuna used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:19AM] Akuna used command ::Zenyte | Player rights = CLERIC_DONATOR	
[4/18/23 09:19AM] Akuna used command ::Zenyte | Player rights = CLERIC_DONATOR	
[4/18/23 09:19AM] Akuna used command ::bunny | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Akuna used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Akuna used command ::ninetails | Player rights = CLERIC_DONATOR	
