[4/20/23 09:40AM] Nub used command ::bank | Player rights = PLAYER	
[4/20/23 09:40AM] Nub used command ::home | Player rights = PLAYER	
[4/20/23 09:42AM] Nub used command ::vote | Player rights = PLAYER	
[4/20/23 09:43AM] Nub used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:44AM] Nub used command ::togglelvlup | Player rights = PLAYER	
[4/20/23 09:49AM] Nub used command ::veigar | Player rights = PLAYER	
[4/20/23 10:19AM] Nub used command ::veigar | Player rights = PLAYER	
[4/20/23 10:19AM] Nub used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:20AM] Nub used command ::Veigar | Player rights = PLAYER	
[4/20/23 10:22AM] Nub used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Nub used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Nub used command ::::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Nub used command ::MERUEM | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Nub used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Nub used command ::meurem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Nub used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Nub used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Nub used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:33AM] Nub used command ::Home | Player rights = GRACEFUL_DONATOR	
