[4/18/23 12:19PM] Jizzle used command ::refer | Player rights = PLAYER	
[4/18/23 12:19PM] Jizzle used command ::vote | Player rights = PLAYER	
[4/18/23 12:20PM] Jizzle used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:21PM] Jizzle used command ::refer | Player rights = PLAYER	
[4/18/23 12:21PM] Jizzle used command ::refer | Player rights = PLAYER	
[4/18/23 12:26PM] Jizzle used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:27PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/18/23 12:29PM] Jizzle used command ::home | Player rights = PLAYER	
[4/18/23 12:29PM] Jizzle used command ::shops | Player rights = PLAYER	
[4/18/23 12:30PM] Jizzle used command ::shop | Player rights = PLAYER	
[4/18/23 12:35PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/18/23 12:39PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42PM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:44PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/18/23 01:10PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/18/23 01:13PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/18/23 01:40PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/18/23 01:44PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 07:11AM] Jizzle used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 07:11AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 07:22AM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/19/23 07:23AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 07:25AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:28AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 07:47AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 07:47AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 07:48AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 08:16AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 08:18AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 08:46AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 08:48AM] Jizzle used command ::ninteails | Player rights = PLAYER	
[4/19/23 08:48AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:49AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 10:39AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 10:44AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 10:46AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 11:14AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/19/23 11:17AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 11:20AM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/19/23 11:22AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 11:42AM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Jizzle used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 12:13PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/19/23 12:16PM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Jizzle used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/19/23 12:19PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 12:44PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/19/23 12:47PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 01:12PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 01:14PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:16PM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/19/23 01:17PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/19/23 01:20PM] Jizzle used command :::vboss | Player rights = PLAYER	
[4/19/23 01:20PM] Jizzle used command ::Vboss | Player rights = PLAYER	
[4/19/23 01:26PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 07:27AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 07:30AM] Jizzle used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 07:34AM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/20/23 07:36AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 07:49AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] Jizzle used command ::af | Player rights = PLAYER	
[4/20/23 07:51AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 08:19AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 08:21AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:23AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 08:49AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 08:51AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 09:19AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/20/23 09:22AM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/20/23 09:23AM] Jizzle used command ::golden | Player rights = PLAYER	
[4/20/23 09:24AM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/20/23 09:28AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 09:49AM] Jizzle used command ::veigar | Player rights = PLAYER	
