[4/19/23 01:56PM] Ardijan used command ::ref fpkmerk | Player rights = PLAYER	
[4/19/23 01:59PM] Ardijan used command ::Train | Player rights = PLAYER	
[4/19/23 02:01PM] Ardijan used command ::TRain | Player rights = PLAYER	
[4/19/23 02:05PM] Ardijan used command ::Train | Player rights = PLAYER	
[4/19/23 02:08PM] Ardijan used command ::home | Player rights = PLAYER	
[4/19/23 02:09PM] Ardijan used command ::gamble | Player rights = PLAYER	
[4/19/23 02:10PM] Ardijan used command ::home | Player rights = PLAYER	
[4/19/23 02:11PM] Ardijan used command ::teleport | Player rights = PLAYER	
[4/19/23 02:13PM] Ardijan used command ::Veigar | Player rights = PLAYER	
[4/19/23 02:14PM] Ardijan used command ::Veigar | Player rights = PLAYER	
[4/19/23 02:15PM] Ardijan used command ::jinchuriki | Player rights = PLAYER	
[4/19/23 02:15PM] Ardijan used command ::king | Player rights = PLAYER	
[4/19/23 02:15PM] Ardijan used command ::Home | Player rights = PLAYER	
[4/19/23 02:15PM] Ardijan used command ::altar | Player rights = PLAYER	
[4/19/23 02:15PM] Ardijan used command ::altar | Player rights = PLAYER	
[4/19/23 02:17PM] Ardijan used command ::Reward | Player rights = PLAYER	
[4/19/23 02:18PM] Ardijan used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:18PM] Ardijan used command ::Reward 1 | Player rights = PLAYER	
[4/19/23 02:18PM] Ardijan used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:20PM] Ardijan used command ::Train | Player rights = PLAYER	
[4/19/23 02:24PM] Ardijan used command ::kills | Player rights = PLAYER	
[4/19/23 02:24PM] Ardijan used command ::Train | Player rights = PLAYER	
[4/19/23 02:25PM] Ardijan used command ::TRain | Player rights = PLAYER	
[4/19/23 02:27PM] Ardijan used command ::voteboss | Player rights = PLAYER	
[4/19/23 02:29PM] Ardijan used command ::train | Player rights = PLAYER	
[4/19/23 02:31PM] Ardijan used command ::npc | Player rights = PLAYER	
[4/19/23 02:31PM] Ardijan used command ::kills | Player rights = PLAYER	
[4/19/23 02:33PM] Ardijan used command ::kills | Player rights = PLAYER	
[4/19/23 02:38PM] Ardijan used command ::kills | Player rights = PLAYER	
[4/19/23 02:40PM] Ardijan used command ::kills | Player rights = PLAYER	
[4/19/23 02:42PM] Ardijan used command ::yellowevent | Player rights = PLAYER	
[4/19/23 02:42PM] Ardijan used command ::yellowevent | Player rights = PLAYER	
[4/19/23 02:42PM] Ardijan used command ::Event | Player rights = PLAYER	
[4/19/23 02:42PM] Ardijan used command ::wevent | Player rights = PLAYER	
[4/19/23 02:43PM] Ardijan used command ::Veigar | Player rights = PLAYER	
[4/19/23 02:45PM] Ardijan used command ::home | Player rights = PLAYER	
[4/19/23 02:48PM] Ardijan used command ::pos | Player rights = PLAYER	
[4/19/23 02:48PM] Ardijan used command ::pos | Player rights = PLAYER	
[4/19/23 02:49PM] Ardijan used command ::pos | Player rights = PLAYER	
[4/19/23 02:49PM] Ardijan used command ::noble | Player rights = PLAYER	
[4/19/23 02:49PM] Ardijan used command ::chill | Player rights = PLAYER	
[4/19/23 02:49PM] Ardijan used command ::Chill | Player rights = PLAYER	
[4/19/23 02:50PM] Ardijan used command ::TRain | Player rights = PLAYER	
[4/19/23 02:51PM] Ardijan used command ::Home | Player rights = PLAYER	
