[4/18/23 12:11PM] 4syns used command ::refer | Player rights = PLAYER	
[4/18/23 12:11PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/18/23 12:13PM] 4syns used command ::vote | Player rights = PLAYER	
[4/18/23 12:14PM] 4syns used command ::claimvote | Player rights = PLAYER	
[4/18/23 12:16PM] 4syns used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:36PM] 4syns used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 12:36PM] 4syns used command ::home | Player rights = PLAYER	
[4/18/23 12:39PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42PM] 4syns used command ::meruem | Player rights = PLAYER	
[4/18/23 12:44PM] 4syns used command ::afk | Player rights = PLAYER	
[4/18/23 01:10PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/18/23 01:13PM] 4syns used command ::afk | Player rights = PLAYER	
[4/18/23 01:29PM] 4syns used command ::vboss | Player rights = PLAYER	
[4/18/23 01:35PM] 4syns used command ::afk | Player rights = PLAYER	
[4/18/23 01:40PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] 4syns used command ::golden | Player rights = PLAYER	
[4/18/23 01:43PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/18/23 01:43PM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 07:10AM] 4syns used command ::vote | Player rights = PLAYER	
[4/19/23 07:12AM] 4syns used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 07:12AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 07:23AM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 07:24AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 07:25AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:27AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 07:46AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 07:48AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 08:16AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 08:18AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 08:46AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 08:48AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:49AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 10:39AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 10:44AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 10:45AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 11:14AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] 4syns used command ::meruem | Player rights = PLAYER	
[4/19/23 11:18AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 11:20AM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 11:22AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 11:41AM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] 4syns used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] 4syns used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 12:13PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 12:16PM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] 4syns used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] 4syns used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] 4syns used command ::meruem | Player rights = PLAYER	
[4/19/23 12:19PM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 12:44PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 12:47PM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 01:13PM] 4syns used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:16PM] 4syns used command ::meruem | Player rights = PLAYER	
[4/19/23 01:17PM] 4syns used command ::afk | Player rights = PLAYER	
[4/19/23 01:20PM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 01:20PM] 4syns used command ::vboss | Player rights = PLAYER	
[4/19/23 01:26PM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 07:25AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 07:34AM] 4syns used command ::vboss | Player rights = PLAYER	
[4/20/23 07:36AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 07:49AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 08:19AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 08:21AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:23AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 08:49AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 08:51AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 09:19AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/20/23 09:21AM] 4syns used command ::meruem | Player rights = PLAYER	
[4/20/23 09:23AM] 4syns used command ::golden | Player rights = PLAYER	
[4/20/23 09:24AM] 4syns used command ::vboss | Player rights = PLAYER	
[4/20/23 09:28AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 09:49AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 11:17AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 11:20AM] 4syns used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] 4syns used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] 4syns used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] 4syns used command ::afk | Player rights = PLAYER	
[4/20/23 12:18PM] 4syns used command ::veigar | Player rights = PLAYER	
