[4/15/23 07:53AM] Rage used command ::train | Player rights = PLAYER	
[4/15/23 07:59AM] Rage used command ::store | Player rights = PLAYER	
[4/15/23 08:28AM] Rage used command ::train | Player rights = PLAYER	
[4/15/23 08:29AM] Rage used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Rage used command ::train | Player rights = PLAYER	
[4/15/23 08:32AM] Rage used command ::walkchaos | Player rights = PLAYER	
[4/15/23 08:34AM] Rage used command ::home | Player rights = PLAYER	
[4/15/23 08:35AM] Rage used command ::ref | Player rights = PLAYER	
[4/15/23 08:38AM] Rage used command ::train | Player rights = PLAYER	
[4/15/23 09:28AM] Rage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Rage used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Rage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Rage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Rage used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Rage used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Rage used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Rage used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Rage used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Rage used command ::veigar | Player rights = GRACEFUL_DONATOR	
