[4/15/23 08:14AM] Xba used command ::ref | Player rights = PLAYER	
[4/15/23 08:15AM] Xba used command ::max | Player rights = PLAYER	
[4/15/23 08:15AM] Xba used command ::maxhit | Player rights = PLAYER	
[4/15/23 08:15AM] Xba used command ::maxhit | Player rights = PLAYER	
[4/15/23 08:16AM] Xba used command ::walkchaos | Player rights = PLAYER	
[4/15/23 08:17AM] Xba used command ::train | Player rights = PLAYER	
[4/15/23 08:21AM] Xba used command ::home | Player rights = PLAYER	
[4/15/23 08:24AM] Xba used command ::train | Player rights = PLAYER	
[4/15/23 08:29AM] Xba used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Xba used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:29AM] Xba used command ::meruem | Player rights = PLAYER	
[4/15/23 08:30AM] Xba used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:30AM] Xba used command ::home | Player rights = PLAYER	
[4/15/23 08:30AM] Xba used command ::train | Player rights = PLAYER	
[4/15/23 08:37AM] Xba used command ::elo | Player rights = PLAYER	
[4/15/23 08:40AM] Xba used command ::maxhit | Player rights = PLAYER	
[4/15/23 08:40AM] Xba used command ::maxhit | Player rights = PLAYER	
[4/15/23 08:50AM] Xba used command ::commands | Player rights = PLAYER	
[4/15/23 08:51AM] Xba used command ::perks | Player rights = PLAYER	
