[4/19/23 11:53AM] Army used command ::refer | Player rights = PLAYER	
[4/19/23 12:02PM] Army used command ::zones | Player rights = PLAYER	
[4/19/23 12:23PM] Army used command ::vote | Player rights = PLAYER	
[4/19/23 12:26PM] Army used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 12:45PM] Army used command ::viegar | Player rights = PLAYER	
[4/19/23 12:45PM] Army used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Army used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:46PM] Army used command ::home | Player rights = PLAYER	
[4/19/23 08:10PM] Army used command ::pos | Player rights = PLAYER	
[4/19/23 08:10PM] Army used command ::home | Player rights = PLAYER	
[4/19/23 08:10PM] Army used command ::pos | Player rights = PLAYER	
[4/19/23 08:10PM] Army used command ::pos | Player rights = PLAYER	
[4/19/23 08:14PM] Army used command ::veigar | Player rights = PLAYER	
[4/19/23 08:15PM] Army used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:44PM] Army used command ::veigar | Player rights = PLAYER	
[4/19/23 08:46PM] Army used command ::ninetails | Player rights = PLAYER	
[4/19/23 10:39PM] Army used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:39PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:44PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:47PM] Army used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:49PM] Army used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:53PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:55PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:58PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:01PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:02PM] Army used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:02PM] Army used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:02PM] Army used command :: | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:02PM] Army used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:04PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
