[4/21/23 10:38PM] Buffy used command ::Ref walkchaos | Player rights = PLAYER	
[4/21/23 10:39PM] Buffy used command ::Ref  | Player rights = PLAYER	
[4/21/23 10:39PM] Buffy used command ::train | Player rights = PLAYER	
[4/21/23 10:41PM] Buffy used command ::daily | Player rights = PLAYER	
[4/21/23 10:45PM] Buffy used command ::Ref | Player rights = PLAYER	
[4/21/23 10:46PM] Buffy used command ::bank | Player rights = PLAYER	
[4/21/23 10:47PM] Buffy used command ::Train | Player rights = PLAYER	
[4/21/23 10:48PM] Buffy used command ::Vote | Player rights = PLAYER	
[4/21/23 10:49PM] Buffy used command ::vote | Player rights = PLAYER	
[4/21/23 10:50PM] Buffy used command ::Reward 1 | Player rights = PLAYER	
[4/21/23 10:50PM] Buffy used command ::reward 1 | Player rights = PLAYER	
[4/21/23 10:50PM] Buffy used command ::reward 1 | Player rights = PLAYER	
[4/21/23 10:50PM] Buffy used command ::Reward 1 | Player rights = PLAYER	
[4/21/23 10:54PM] Buffy used command ::bank | Player rights = PLAYER	
[4/21/23 10:56PM] Buffy used command ::shops | Player rights = PLAYER	
[4/21/23 10:58PM] Buffy used command ::Trin | Player rights = PLAYER	
[4/21/23 10:58PM] Buffy used command ::Train | Player rights = PLAYER	
[4/21/23 11:02PM] Buffy used command ::Veigar | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::Craft | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::upgrade | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::commands | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::Checkdaily | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::perks | Player rights = PLAYER	
[4/21/23 11:14PM] Buffy used command ::commands | Player rights = PLAYER	
[4/21/23 11:27PM] Buffy used command ::atlar | Player rights = PLAYER	
[4/21/23 11:27PM] Buffy used command ::altar | Player rights = PLAYER	
[4/21/23 11:27PM] Buffy used command ::alter | Player rights = PLAYER	
[4/21/23 11:32PM] Buffy used command ::veigar | Player rights = PLAYER	
[4/21/23 11:33PM] Buffy used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35PM] Buffy used command ::golden | Player rights = PLAYER	
[4/21/23 11:38PM] Buffy used command ::Voteboss | Player rights = PLAYER	
[4/21/23 11:50PM] Buffy used command ::perks | Player rights = PLAYER	
[4/22/23 12:02AM] Buffy used command ::viegar | Player rights = PLAYER	
[4/22/23 12:02AM] Buffy used command ::veigar | Player rights = PLAYER	
[4/22/23 12:26AM] Buffy used command ::pos | Player rights = PLAYER	
[4/22/23 12:26AM] Buffy used command ::home | Player rights = PLAYER	
[4/22/23 12:32AM] Buffy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Buffy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Buffy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Buffy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35AM] Buffy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:39AM] Buffy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:39AM] Buffy used command ::pos | Player rights = GRACEFUL_DONATOR	
