[4/15/23 08:53PM] Jroc used command ::teleport | Player rights = PLAYER	
[4/15/23 08:53PM] Jroc used command ::teleport | Player rights = PLAYER	
[4/15/23 09:34PM] Jroc used command ::vOTE | Player rights = PLAYER	
[4/15/23 09:35PM] Jroc used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:35PM] Jroc used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:35PM] Jroc used command ::reward 1 | Player rights = PLAYER	
[4/16/23 12:53AM] Jroc used command ::veigar | Player rights = PLAYER	
[4/16/23 09:31AM] Jroc used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:37AM] Jroc used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Jroc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Jroc used command ::golen | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Jroc used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Jroc used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:00AM] Jroc used command ::Staff | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:18AM] Jroc used command ::yell buying exe bow | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:24AM] Jroc used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:27AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:28AM] Jroc used command ::referral | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:28AM] Jroc used command ::referral | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:28AM] Jroc used command ::referral | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:29AM] Jroc used command ::referral | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:29AM] Jroc used command ::ref alex | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:32AM] Jroc used command ::yell buying exe bow and blood weps | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:44AM] Jroc used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:49AM] Jroc used command ::yell buying exe gear or blood gear | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Jroc used command ::referral | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:08AM] Jroc used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:12AM] Jroc used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:12AM] Jroc used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:12AM] Jroc used command ::donorzone | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:12AM] Jroc used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:12AM] Jroc used command ::voteboss | Player rights = GRACEFUL_DONATOR	
