[4/15/23 08:47PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 08:47PM] Fake Taxi used command ::vote | Player rights = PLAYER	
[4/15/23 08:50PM] Fake Taxi used command ::reward 1 | Player rights = PLAYER	
[4/15/23 08:50PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 08:52PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 08:53PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 08:58PM] Fake Taxi used command ::commands | Player rights = PLAYER	
[4/15/23 08:58PM] Fake Taxi used command ::veigar | Player rights = PLAYER	
[4/15/23 09:00PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::commands | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::shops | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::shops | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::shop | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::commands | Player rights = PLAYER	
[4/15/23 09:06PM] Fake Taxi used command ::shops | Player rights = PLAYER	
[4/15/23 09:07PM] Fake Taxi used command ::home | Player rights = PLAYER	
[4/15/23 09:09PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 09:14PM] Fake Taxi used command ::totem | Player rights = PLAYER	
[4/15/23 09:14PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 09:19PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 09:21PM] Fake Taxi used command ::train | Player rights = PLAYER	
[4/15/23 09:24PM] Fake Taxi used command ::shop | Player rights = PLAYER	
[4/15/23 09:24PM] Fake Taxi used command ::home | Player rights = PLAYER	
[4/15/23 09:29PM] Fake Taxi used command ::veigar | Player rights = PLAYER	
[4/15/23 09:31PM] Fake Taxi used command ::home | Player rights = PLAYER	
