[4/15/23 01:43PM] Beef Supreme used command ::vote | Player rights = PLAYER	
[4/15/23 01:44PM] Beef Supreme used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:44PM] Beef Supreme used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:44PM] Beef Supreme used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:48PM] Beef Supreme used command ::donate | Player rights = PLAYER	
[4/15/23 04:05PM] Beef Supreme used command ::afk | Player rights = PLAYER	
[4/15/23 04:06PM] Beef Supreme used command ::Afk | Player rights = PLAYER	
[4/15/23 04:07PM] Beef Supreme used command ::shops | Player rights = PLAYER	
[4/15/23 04:08PM] Beef Supreme used command ::pick | Player rights = PLAYER	
[4/15/23 04:08PM] Beef Supreme used command ::shops | Player rights = PLAYER	
[4/15/23 04:08PM] Beef Supreme used command ::home | Player rights = PLAYER	
[4/15/23 04:08PM] Beef Supreme used command ::afk | Player rights = PLAYER	
[4/15/23 04:31PM] Beef Supreme used command ::Afk | Player rights = PLAYER	
[4/15/23 05:55PM] Beef Supreme used command ::Ref | Player rights = PLAYER	
[4/15/23 08:50PM] Beef Supreme used command ::shop | Player rights = PLAYER	
[4/15/23 08:50PM] Beef Supreme used command ::store | Player rights = PLAYER	
[4/15/23 08:53PM] Beef Supreme used command ::claim | Player rights = PLAYER	
[4/15/23 08:58PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:28PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:05AM] Beef Supreme used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:18AM] Beef Supreme used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 04:24AM] Beef Supreme used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:24AM] Beef Supreme used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:46AM] Beef Supreme used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 04:55AM] Beef Supreme used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Beef Supreme used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 01:19PM] Beef Supreme used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:44PM] Beef Supreme used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25PM] Beef Supreme used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Beef Supreme used command ::mereum | Player rights = CLERIC_DONATOR	
[4/16/23 03:30PM] Beef Supreme used command ::dropon | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Beef Supreme used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Beef Supreme used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:35PM] Beef Supreme used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Beef Supreme used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Beef Supreme used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] Beef Supreme used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:15PM] Beef Supreme used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 05:18PM] Beef Supreme used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Beef Supreme used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:50PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 05:50PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 05:53PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 06:23PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 06:23PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 06:53PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:01PM] Beef Supreme used command ::callpet | Player rights = TORMENTED_DONATOR	
[4/16/23 07:01PM] Beef Supreme used command ::pet | Player rights = TORMENTED_DONATOR	
[4/16/23 07:01PM] Beef Supreme used command ::dismisspet | Player rights = TORMENTED_DONATOR	
[4/16/23 07:01PM] Beef Supreme used command ::dismiss | Player rights = TORMENTED_DONATOR	
[4/16/23 07:01PM] Beef Supreme used command ::commands | Player rights = TORMENTED_DONATOR	
[4/16/23 07:02PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:04PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:23PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:23PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:23PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:31PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:35PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:44PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:44PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:45PM] Beef Supreme used command ::totem | Player rights = TORMENTED_DONATOR	
[4/16/23 07:50PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:53PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:53PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:54PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:56PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:57PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 07:59PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:20PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:23PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:24PM] Beef Supreme used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 08:25PM] Beef Supreme used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:53PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 08:53PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:57PM] Beef Supreme used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 08:58PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:58PM] Beef Supreme used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/16/23 09:40PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 09:45PM] Beef Supreme used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/16/23 09:45PM] Beef Supreme used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/16/23 09:46PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 09:47PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:05PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:05PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:15PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:39PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 10:40PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:42PM] Beef Supreme used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 10:47PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:04PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:09PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:10PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:11PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 11:11PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:12PM] Beef Supreme used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 11:12PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:12PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 11:24PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:28PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:39PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:40PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 06:36PM] Beef Supreme used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 06:41PM] Beef Supreme used command ::vote | Player rights = TORMENTED_DONATOR	
[4/17/23 06:45PM] Beef Supreme used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/17/23 06:45PM] Beef Supreme used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/17/23 06:45PM] Beef Supreme used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/17/23 06:45PM] Beef Supreme used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/17/23 07:02PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 07:32PM] Beef Supreme used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 07:50PM] Beef Supreme used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 07:58PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:58PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:58PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:17PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:18PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:18PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:18PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:18PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
