[4/15/23 08:21AM] Peg Legs used command ::train | Player rights = PLAYER	
[4/15/23 08:28AM] Peg Legs used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 08:29AM] Peg Legs used command ::Veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Peg Legs used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:34AM] Peg Legs used command ::vote | Player rights = PLAYER	
[4/15/23 08:35AM] Peg Legs used command ::voted | Player rights = PLAYER	
[4/15/23 08:35AM] Peg Legs used command ::claimvote | Player rights = PLAYER	
[4/15/23 08:35AM] Peg Legs used command ::claimvote | Player rights = PLAYER	
[4/15/23 08:58AM] Peg Legs used command ::claimvote | Player rights = PLAYER	
[4/15/23 08:59AM] Peg Legs used command ::veigar | Player rights = PLAYER	
[4/15/23 08:59AM] Peg Legs used command ::yell remember to fix ::claimvote | Player rights = PLAYER	
[4/15/23 09:01AM] Peg Legs used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:02AM] Peg Legs used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:11AM] Peg Legs used command ::totem | Player rights = PLAYER	
[4/15/23 09:12AM] Peg Legs used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:29AM] Peg Legs used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30AM] Peg Legs used command ::golden | Player rights = PLAYER	
[4/15/23 09:30AM] Peg Legs used command ::ninetales | Player rights = PLAYER	
[4/15/23 09:30AM] Peg Legs used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31AM] Peg Legs used command ::golden | Player rights = PLAYER	
[4/15/23 09:59AM] Peg Legs used command ::veigar | Player rights = PLAYER	
[4/15/23 09:59AM] Peg Legs used command ::home | Player rights = PLAYER	
[4/15/23 10:29AM] Peg Legs used command ::Veigar | Player rights = PLAYER	
[4/15/23 10:29AM] Peg Legs used command ::nintails | Player rights = PLAYER	
[4/15/23 10:29AM] Peg Legs used command ::ninetales | Player rights = PLAYER	
[4/15/23 10:29AM] Peg Legs used command ::ninetails | Player rights = PLAYER	
[4/15/23 10:30AM] Peg Legs used command ::meruem | Player rights = PLAYER	
[4/16/23 08:45AM] Peg Legs used command ::vote | Player rights = PLAYER	
[4/16/23 08:46AM] Peg Legs used command ::reward 1 | Player rights = PLAYER	
[4/16/23 08:47AM] Peg Legs used command ::reward 1 | Player rights = PLAYER	
[4/16/23 08:53AM] Peg Legs used command ::veigar | Player rights = PLAYER	
