[4/15/23 03:35AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 03:42AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 03:43AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 03:49AM] Supernum used command ::collection | Player rights = PLAYER	
[4/15/23 03:53AM] Supernum used command ::ref | Player rights = PLAYER	
[4/15/23 04:01AM] Supernum used command ::ref | Player rights = PLAYER	
[4/15/23 04:03AM] Supernum used command ::bank | Player rights = PLAYER	
[4/15/23 04:03AM] Supernum used command ::bank | Player rights = PLAYER	
[4/15/23 04:03AM] Supernum used command ::home | Player rights = PLAYER	
[4/15/23 04:05AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 04:08AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 01:54PM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 01:59PM] Supernum used command ::veigar | Player rights = PLAYER	
[4/15/23 02:00PM] Supernum used command ::progression | Player rights = PLAYER	
[4/15/23 02:02PM] Supernum used command ::::voteboss | Player rights = PLAYER	
[4/15/23 02:03PM] Supernum used command ::collection | Player rights = PLAYER	
[4/15/23 02:06PM] Supernum used command ::donate | Player rights = PLAYER	
[4/15/23 02:19PM] Supernum used command ::totem | Player rights = PLAYER	
[4/15/23 02:21PM] Supernum used command ::vote | Player rights = PLAYER	
[4/15/23 02:22PM] Supernum used command ::reward 1 | Player rights = PLAYER	
[4/15/23 02:23PM] Supernum used command ::Shops | Player rights = PLAYER	
[4/15/23 02:23PM] Supernum used command ::shops | Player rights = PLAYER	
[4/15/23 02:24PM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 02:28PM] Supernum used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Supernum used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:29PM] Supernum used command ::mereum | Player rights = PLAYER	
[4/15/23 02:30PM] Supernum used command ::meruem | Player rights = PLAYER	
[4/15/23 03:09PM] Supernum used command ::pos | Player rights = PLAYER	
[4/15/23 03:09PM] Supernum used command ::pos | Player rights = PLAYER	
[4/15/23 03:11PM] Supernum used command ::dr | Player rights = PLAYER	
[4/15/23 03:13PM] Supernum used command ::ref | Player rights = PLAYER	
[4/15/23 03:15PM] Supernum used command ::home | Player rights = PLAYER	
[4/15/23 03:26PM] Supernum used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:28PM] Supernum used command ::veigar | Player rights = PLAYER	
[4/15/23 03:31PM] Supernum used command ::ninetails | Player rights = PLAYER	
[4/15/23 03:33PM] Supernum used command ::displayfps | Player rights = PLAYER	
