[4/15/23 05:52PM] Win All Day used command ::empty | Player rights = DEVELOPER	
[4/15/23 05:52PM] Win All Day used command ::find agumon | Player rights = DEVELOPER	
[4/15/23 05:52PM] Win All Day used command ::item 9666 | Player rights = DEVELOPER	
[4/15/23 05:52PM] Win All Day used command ::item 22155 | Player rights = DEVELOPER	
[4/15/23 05:52PM] Win All Day used command ::find collector | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 18888 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22214 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22215 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22216 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22217 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22218 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22219 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22220 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22221 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22223 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22224 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22225 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22226 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22227 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22228 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 05:53PM] Win All Day used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 22237 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::random | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 8788 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::empty | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 2736 50 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 15003 20 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 15002 20 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 15004 20 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 20489 20 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 20491 20 | Player rights = DEVELOPER	
[4/15/23 05:54PM] Win All Day used command ::item 20490 20 | Player rights = DEVELOPER	
[4/15/23 05:55PM] Win All Day used command ::item 15004 1 | Player rights = DEVELOPER	
[4/15/23 05:55PM] Win All Day used command ::item 23058 | Player rights = DEVELOPER	
[4/15/23 05:55PM] Win All Day used command ::bank | Player rights = DEVELOPER	
[4/15/23 05:55PM] Win All Day used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:03PM] Win All Day used command ::players | Player rights = YOUTUBER	
[4/15/23 06:29PM] Win All Day used command ::veigar | Player rights = YOUTUBER	
[4/15/23 06:34PM] Win All Day used command ::bank | Player rights = YOUTUBER	
[4/15/23 06:35PM] Win All Day used command ::ref win all day | Player rights = YOUTUBER	
[4/15/23 06:35PM] Win All Day used command ::ref | Player rights = YOUTUBER	
[4/15/23 08:00PM] Win All Day used command ::yell new video out now link in discord !! big giveaway | Player rights = YOUTUBER	
[4/15/23 10:56PM] Win All Day used command ::elo | Player rights = YOUTUBER	
[4/15/23 10:56PM] Win All Day used command ::elo | Player rights = YOUTUBER	
[4/15/23 10:59PM] Win All Day used command ::veigar | Player rights = YOUTUBER	
[4/15/23 11:01PM] Win All Day used command ::yell scammed | Player rights = YOUTUBER	
