[4/21/23 03:59PM] Vanity used command ::refer | Player rights = PLAYER	
[4/21/23 04:01PM] Vanity used command ::train | Player rights = PLAYER	
[4/21/23 04:02PM] Vanity used command ::veigar | Player rights = PLAYER	
[4/24/23 04:55AM] Vanity used command ::train | Player rights = PLAYER	
[4/24/23 04:58AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 04:58AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 05:01AM] Vanity used command ::veigar | Player rights = PLAYER	
[4/24/23 05:04AM] Vanity used command ::vote | Player rights = PLAYER	
[4/24/23 05:04AM] Vanity used command ::voteboss | Player rights = PLAYER	
[4/24/23 05:06AM] Vanity used command ::home | Player rights = PLAYER	
[4/24/23 05:12AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 05:20AM] Vanity used command ::ref noble | Player rights = PLAYER	
[4/24/23 05:31AM] Vanity used command ::veigar | Player rights = PLAYER	
[4/24/23 05:34AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 08:31AM] Vanity used command ::veigar | Player rights = PLAYER	
[4/24/23 08:32AM] Vanity used command ::ninetails | Player rights = PLAYER	
[4/24/23 08:34AM] Vanity used command ::meruem | Player rights = PLAYER	
[4/24/23 08:35AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 08:35AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 08:35AM] Vanity used command ::bank | Player rights = PLAYER	
[4/24/23 08:35AM] Vanity used command ::bank | Player rights = PLAYER	
