[4/22/23 12:50PM] Silver used command ::home | Player rights = PLAYER	
[4/22/23 12:51PM] Silver used command ::afk | Player rights = PLAYER	
[4/22/23 12:52PM] Silver used command ::ref | Player rights = PLAYER	
[4/22/23 12:52PM] Silver used command ::ref | Player rights = PLAYER	
[4/22/23 01:02PM] Silver used command ::home | Player rights = PLAYER	
[4/22/23 01:02PM] Silver used command ::veigar | Player rights = PLAYER	
[4/22/23 01:04PM] Silver used command ::afk | Player rights = PLAYER	
[4/22/23 01:31PM] Silver used command ::voteboss | Player rights = PLAYER	
[4/22/23 01:32PM] Silver used command ::veigar | Player rights = PLAYER	
[4/22/23 01:33PM] Silver used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:36PM] Silver used command ::afk | Player rights = PLAYER	
[4/22/23 02:02PM] Silver used command ::veigar | Player rights = PLAYER	
[4/22/23 02:04PM] Silver used command ::afk | Player rights = PLAYER	
[4/22/23 02:32PM] Silver used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33PM] Silver used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:34PM] Silver used command ::meruem | Player rights = PLAYER	
[4/22/23 02:35PM] Silver used command ::golden | Player rights = PLAYER	
[4/22/23 02:36PM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:32AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 12:33AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:35AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 12:36AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:50AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 12:52AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 01:03AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 01:04AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 01:32AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 01:34AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 01:35AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 02:02AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 02:05AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 02:32AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 02:33AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 02:34AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 02:35AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 02:36AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 02:58AM] Silver used command ::home | Player rights = PLAYER	
[4/23/23 02:59AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 03:13AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:14AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 03:14AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 03:15AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 03:31AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 03:32AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:32AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 03:33AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 03:43AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 04:05AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 04:05AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 04:06AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 04:07AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 04:07AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 04:07AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 04:07AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 04:31AM] Silver used command ::.voteboss | Player rights = PLAYER	
[4/23/23 04:31AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 04:34AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 04:35AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 05:03AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 05:05AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 05:06AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 05:34AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 05:35AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 06:04AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 06:05AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 06:05AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 06:05AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 06:34AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 06:35AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 07:04AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 07:05AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 07:05AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 07:06AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 07:34AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 07:35AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 07:57AM] Silver used command ::veigar::home | Player rights = PLAYER	
[4/23/23 07:57AM] Silver used command ::home | Player rights = PLAYER	
[4/23/23 07:58AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 08:04AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 08:05AM] Silver used command ::nietails | Player rights = PLAYER	
[4/23/23 08:05AM] Silver used command ::nietails | Player rights = PLAYER	
[4/23/23 08:05AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 08:05AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 09:02AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 09:05AM] Silver used command ::ninetails | Player rights = PLAYER	
[4/23/23 09:05AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 09:26AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:26AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:28AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 09:28AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:36AM] Silver used command ::veigar | Player rights = PLAYER	
[4/23/23 09:37AM] Silver used command ::ninetails | Player rights = PLAYER	
