[4/20/23 01:19AM] Profeta used command ::veigar | Player rights = PLAYER	
[4/20/23 01:33AM] Profeta used command ::master | Player rights = PLAYER	
[4/20/23 01:49AM] Profeta used command ::veigar | Player rights = PLAYER	
[4/20/23 02:14AM] Profeta used command ::duradel | Player rights = PLAYER	
[4/20/23 02:19AM] Profeta used command ::veigar | Player rights = PLAYER	
[4/20/23 10:42AM] Profeta used command ::meruem | Player rights = PLAYER	
[4/20/23 10:47AM] Profeta used command ::golden | Player rights = PLAYER	
[4/20/23 10:49AM] Profeta used command ::velgar | Player rights = PLAYER	
[4/20/23 10:50AM] Profeta used command ::veigar | Player rights = PLAYER	
[4/20/23 10:52AM] Profeta used command ::Shop | Player rights = PLAYER	
[4/22/23 08:59PM] Profeta used command ::Shop | Player rights = PLAYER	
[4/22/23 08:59PM] Profeta used command ::Shops | Player rights = PLAYER	
[4/22/23 09:03PM] Profeta used command ::Veigar | Player rights = PLAYER	
[4/22/23 10:09PM] Profeta used command ::vote | Player rights = PLAYER	
[4/22/23 10:11PM] Profeta used command ::Claimvote | Player rights = PLAYER	
[4/22/23 10:11PM] Profeta used command ::claimvote | Player rights = PLAYER	
[4/22/23 10:13PM] Profeta used command ::Claimvote | Player rights = PLAYER	
[4/22/23 10:13PM] Profeta used command ::reward | Player rights = PLAYER	
[4/22/23 10:14PM] Profeta used command :: reward 1 | Player rights = PLAYER	
[4/22/23 10:14PM] Profeta used command ::reward 1 | Player rights = PLAYER	
[4/22/23 10:16PM] Profeta used command ::reward 1 | Player rights = PLAYER	
[4/22/23 10:32PM] Profeta used command ::veigar | Player rights = PLAYER	
[4/22/23 11:43PM] Profeta used command ::ref youtube | Player rights = PLAYER	
[4/23/23 12:57AM] Profeta used command ::ref | Player rights = PLAYER	
[4/23/23 12:57AM] Profeta used command ::ref tik tok | Player rights = PLAYER	
[4/23/23 01:03AM] Profeta used command ::veigar | Player rights = PLAYER	
[4/23/23 02:02AM] Profeta used command ::veigar | Player rights = PLAYER	
