[4/17/23 09:03PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 09:03PM] Scary Terry used command ::home | Player rights = PLAYER	
[4/17/23 09:03PM] Scary Terry used command ::home | Player rights = PLAYER	
[4/17/23 09:04PM] Scary Terry used command ::Vote | Player rights = PLAYER	
[4/17/23 09:06PM] Scary Terry used command ::reward 1 2 | Player rights = PLAYER	
[4/17/23 09:06PM] Scary Terry used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:06PM] Scary Terry used command ::claim | Player rights = PLAYER	
[4/17/23 09:06PM] Scary Terry used command ::claimcote | Player rights = PLAYER	
[4/17/23 09:06PM] Scary Terry used command ::claimvote | Player rights = PLAYER	
[4/17/23 09:07PM] Scary Terry used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 09:07PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 09:09PM] Scary Terry used command ::totem | Player rights = PLAYER	
[4/17/23 09:09PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 09:28PM] Scary Terry used command ::veigar | Player rights = PLAYER	
[4/17/23 09:29PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 09:30PM] Scary Terry used command ::home | Player rights = PLAYER	
[4/17/23 09:32PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 09:56PM] Scary Terry used command ::home | Player rights = PLAYER	
[4/17/23 09:58PM] Scary Terry used command ::veigar | Player rights = PLAYER	
[4/17/23 09:59PM] Scary Terry used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:02PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/17/23 10:17PM] Scary Terry used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 10:28PM] Scary Terry used command ::veigar | Player rights = PLAYER	
[4/17/23 11:00PM] Scary Terry used command ::commands | Player rights = PLAYER	
[4/17/23 11:01PM] Scary Terry used command ::voted | Player rights = PLAYER	
[4/17/23 11:01PM] Scary Terry used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 11:03PM] Scary Terry used command ::totem | Player rights = PLAYER	
[4/17/23 11:05PM] Scary Terry used command ::coll | Player rights = PLAYER	
[4/17/23 11:10PM] Scary Terry used command ::home | Player rights = PLAYER	
[4/17/23 11:11PM] Scary Terry used command ::global | Player rights = PLAYER	
[4/17/23 11:11PM] Scary Terry used command ::veigar | Player rights = PLAYER	
[4/17/23 11:47PM] Scary Terry used command ::achiev | Player rights = PLAYER	
[4/18/23 12:08AM] Scary Terry used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:45AM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:09PM] Scary Terry used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:10PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:12PM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:12PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Scary Terry used command ::nine | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Scary Terry used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:45PM] Scary Terry used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:46PM] Scary Terry used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:50PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:52PM] Scary Terry used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:55PM] Scary Terry used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:11PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:45PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:46PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41PM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41PM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:44PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:51PM] Scary Terry used command ::raids | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:54PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:11PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:15PM] Scary Terry used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:55PM] Scary Terry used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:55PM] Scary Terry used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:59PM] Scary Terry used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:01PM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:05PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:17PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:13PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:13PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:15PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:17PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:43PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:20PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:22PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:23PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:23PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:23PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:23PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
