[4/15/23 11:26PM] Jj Fly used command ::Ref | Player rights = PLAYER	
[4/15/23 11:33PM] Jj Fly used command ::home | Player rights = PLAYER	
[4/15/23 11:36PM] Jj Fly used command ::train | Player rights = PLAYER	
[4/15/23 11:40PM] Jj Fly used command ::Vote | Player rights = PLAYER	
[4/15/23 11:43PM] Jj Fly used command ::Voteboss | Player rights = PLAYER	
[4/15/23 11:45PM] Jj Fly used command ::meruem | Player rights = PLAYER	
[4/15/23 11:47PM] Jj Fly used command ::TRAIN | Player rights = PLAYER	
[4/15/23 11:50PM] Jj Fly used command ::TRAIN | Player rights = PLAYER	
[4/15/23 11:53PM] Jj Fly used command ::VEIGAR | Player rights = PLAYER	
[4/15/23 11:54PM] Jj Fly used command ::TRAIN | Player rights = PLAYER	
[4/15/23 11:59PM] Jj Fly used command ::HOME | Player rights = PLAYER	
[4/16/23 12:00AM] Jj Fly used command ::train | Player rights = PLAYER	
[4/16/23 12:02AM] Jj Fly used command ::train | Player rights = PLAYER	
[4/16/23 12:03AM] Jj Fly used command ::totem | Player rights = PLAYER	
[4/16/23 12:03AM] Jj Fly used command ::train | Player rights = PLAYER	
[4/16/23 12:04AM] Jj Fly used command ::Home | Player rights = PLAYER	
[4/16/23 12:05AM] Jj Fly used command ::zones | Player rights = PLAYER	
[4/16/23 12:05AM] Jj Fly used command ::zones | Player rights = PLAYER	
[4/16/23 03:30AM] Jj Fly used command ::Voteboss | Player rights = PLAYER	
[4/16/23 08:34AM] Jj Fly used command ::golden | Player rights = PLAYER	
[4/16/23 08:34AM] Jj Fly used command ::Vote | Player rights = PLAYER	
[4/16/23 08:35AM] Jj Fly used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 08:36AM] Jj Fly used command ::reward 1 | Player rights = PLAYER	
[4/16/23 08:38AM] Jj Fly used command ::yell i didnt get no box sent to my invy? | Player rights = PLAYER	
[4/16/23 08:39AM] Jj Fly used command ::home | Player rights = PLAYER	
[4/16/23 09:39AM] Jj Fly used command ::meruem | Player rights = PLAYER	
[4/16/23 09:42AM] Jj Fly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Jj Fly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Jj Fly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Jj Fly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Jj Fly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Jj Fly used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:51AM] Jj Fly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Jj Fly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] Jj Fly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:57AM] Jj Fly used command ::yell buying staff 22k red coins | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53PM] Jj Fly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:05PM] Jj Fly used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:07PM] Jj Fly used command ::donate | Player rights = GRACEFUL_DONATOR	
