[4/15/23 11:52AM] F E used command ::train | Player rights = PLAYER	
[4/15/23 11:54AM] F E used command ::refer | Player rights = PLAYER	
[4/15/23 11:54AM] F E used command ::ref | Player rights = PLAYER	
[4/15/23 11:58AM] F E used command ::Train | Player rights = PLAYER	
[4/15/23 11:59AM] F E used command ::veigar | Player rights = PLAYER	
[4/15/23 12:00PM] F E used command ::train | Player rights = PLAYER	
[4/15/23 12:03PM] F E used command ::train | Player rights = PLAYER	
[4/15/23 12:14PM] F E used command ::progress | Player rights = PLAYER	
[4/15/23 12:29PM] F E used command ::veigar | Player rights = PLAYER	
[4/15/23 12:39PM] F E used command ::rewards 1 all | Player rights = PLAYER	
[4/15/23 12:39PM] F E used command ::vote | Player rights = PLAYER	
[4/15/23 12:40PM] F E used command ::rewards 1 all | Player rights = PLAYER	
[4/15/23 12:45PM] F E used command ::vboss | Player rights = PLAYER	
[4/15/23 12:58PM] F E used command ::veigar | Player rights = PLAYER	
[4/15/23 01:00PM] F E used command ::upgrade | Player rights = PLAYER	
[4/15/23 01:00PM] F E used command ::upgrade | Player rights = PLAYER	
[4/15/23 01:00PM] F E used command ::upgrades | Player rights = PLAYER	
[4/15/23 01:14PM] F E used command ::kills | Player rights = PLAYER	
[4/15/23 01:27PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] F E used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:03PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] F E used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:15PM] F E used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:31PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:35PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:30PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:56PM] F E used command ::yell spawn a vtboss or its  cap :( | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:21PM] F E used command ::red | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:21PM] F E used command ::Ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] F E used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] F E used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] F E used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:42PM] F E used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:43PM] F E used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] F E used command ::vboss/ty | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] F E used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] F E used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] F E used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] F E used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] F E used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] F E used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] F E used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 10:31PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 10:54PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:55AM] F E used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:59AM] F E used command ::Claim | Player rights = CLERIC_DONATOR	
[4/16/23 07:59AM] F E used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 08:00AM] F E used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:34AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] F E used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:10AM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:33AM] F E used command ::bug | Player rights = CLERIC_DONATOR	
[4/16/23 09:37AM] F E used command ::players | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:43AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] F E used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:45AM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] F E used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:54AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] F E used command ::Vboss | Player rights = CLERIC_DONATOR	
