[4/20/23 05:52AM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/20/23 05:58AM] Bobross used command ::meruem | Player rights = PLAYER	
[4/20/23 06:01AM] Bobross used command ::train | Player rights = PLAYER	
[4/20/23 06:19AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 06:21AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:22AM] Bobross used command ::golden | Player rights = PLAYER	
[4/20/23 06:27AM] Bobross used command ::meruem | Player rights = PLAYER	
[4/20/23 06:28AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 06:31AM] Bobross used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 06:32AM] Bobross used command ::vboss | Player rights = PLAYER	
[4/20/23 06:49AM] Bobross used command ::viegar | Player rights = PLAYER	
[4/20/23 06:49AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 06:52AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:52AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 06:53AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:53AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 06:53AM] Bobross used command ::yellowboss | Player rights = PLAYER	
[4/20/23 06:54AM] Bobross used command ::yellowboss | Player rights = PLAYER	
[4/20/23 07:03AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 07:11AM] Bobross used command ::pos | Player rights = PLAYER	
[4/20/23 07:16AM] Bobross used command ::shops | Player rights = PLAYER	
[4/20/23 07:17AM] Bobross used command ::home | Player rights = PLAYER	
[4/20/23 07:19AM] Bobross used command ::meruem | Player rights = PLAYER	
[4/20/23 07:19AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22AM] Bobross used command ::meruem | Player rights = PLAYER	
[4/20/23 07:24AM] Bobross used command ::home | Player rights = PLAYER	
[4/20/23 07:30AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 07:32AM] Bobross used command ::vote | Player rights = PLAYER	
[4/20/23 07:34AM] Bobross used command ::vboss | Player rights = PLAYER	
[4/20/23 07:35AM] Bobross used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 07:40AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 07:47AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 07:49AM] Bobross used command ::viegar | Player rights = PLAYER	
[4/20/23 07:49AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:01AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 08:07AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/20/23 08:09AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:16AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:21AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:24AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:25AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:25AM] Bobross used command ::home | Player rights = PLAYER	
[4/21/23 01:28AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:31AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:32AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 01:35AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:38AM] Bobross used command ::mereum | Player rights = PLAYER	
