[4/18/23 12:05PM] Evo used command ::train | Player rights = PLAYER	
[4/18/23 12:06PM] Evo used command ::ref | Player rights = PLAYER	
[4/18/23 12:07PM] Evo used command ::ref | Player rights = PLAYER	
[4/18/23 12:07PM] Evo used command ::ref | Player rights = PLAYER	
[4/26/23 05:56AM] Evo used command ::train | Player rights = PLAYER	
[4/26/23 05:57AM] Evo used command ::afk | Player rights = PLAYER	
[4/26/23 07:05AM] Evo used command ::ninetails | Player rights = PLAYER	
[4/26/23 07:05AM] Evo used command ::veigar | Player rights = PLAYER	
[4/26/23 07:06AM] Evo used command ::ninetails | Player rights = PLAYER	
[4/26/23 07:08AM] Evo used command ::meruem | Player rights = PLAYER	
[4/26/23 07:10AM] Evo used command ::afk | Player rights = PLAYER	
