[4/15/23 04:27AM] Asoich used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 04:31AM] Asoich used command ::mereum | Player rights = PLAYER	
[4/15/23 04:31AM] Asoich used command ::mereum | Player rights = PLAYER	
[4/15/23 04:35AM] Asoich used command ::ref | Player rights = PLAYER	
[4/15/23 04:39AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 04:40AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 04:48AM] Asoich used command ::mereum | Player rights = PLAYER	
[4/15/23 04:48AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 04:54AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 05:00AM] Asoich used command ::voteboss | Player rights = PLAYER	
[4/15/23 05:02AM] Asoich used command ::reigar | Player rights = PLAYER	
[4/15/23 05:02AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 06:50AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 06:53AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 07:40AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 08:02AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 08:02AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 08:03AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 08:03AM] Asoich used command ::golden | Player rights = PLAYER	
[4/15/23 08:29AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Asoich used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:30AM] Asoich used command ::meruem | Player rights = PLAYER	
[4/15/23 08:59AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Asoich used command ::voeboss | Player rights = PLAYER	
[4/15/23 09:01AM] Asoich used command ::Voteboss | Player rights = PLAYER	
[4/15/23 09:02AM] Asoich used command ::home | Player rights = PLAYER	
[4/15/23 11:52AM] Asoich used command ::elo | Player rights = PLAYER	
[4/15/23 11:59AM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 11:59AM] Asoich used command ::ninetails | Player rights = PLAYER	
[4/15/23 12:07PM] Asoich used command ::totem | Player rights = PLAYER	
[4/15/23 12:29PM] Asoich used command ::veigar | Player rights = PLAYER	
[4/15/23 12:29PM] Asoich used command ::ninetails | Player rights = PLAYER	
[4/15/23 12:30PM] Asoich used command ::meruem | Player rights = PLAYER	
