[4/18/23 09:00PM] Dredge used command ::refer | Player rights = PLAYER	
[4/18/23 09:21PM] Dredge used command ::home | Player rights = PLAYER	
[4/18/23 09:33PM] Dredge used command ::home | Player rights = PLAYER	
[4/18/23 09:41PM] Dredge used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:42PM] Dredge used command ::veigar | Player rights = PLAYER	
[4/18/23 09:43PM] Dredge used command ::ninetails | Player rights = PLAYER	
[4/18/23 09:46PM] Dredge used command ::home | Player rights = PLAYER	
[4/18/23 10:11PM] Dredge used command ::veigar | Player rights = PLAYER	
[4/18/23 10:15PM] Dredge used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:52PM] Dredge used command ::vboss | Player rights = PLAYER	
[4/18/23 10:52PM] Dredge used command ::ninetails | Player rights = PLAYER	
[4/18/23 11:06PM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:35PM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:06AM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Dredge used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:21AM] Dredge used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Dredge used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:09PM] Dredge used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:02PM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:09PM] Dredge used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:32PM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] Dredge used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:40PM] Dredge used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:03AM] Dredge used command ::veigar | Player rights = GRACEFUL_DONATOR	
