[4/18/23 09:11AM] Al Faed used command ::ref walkchaos | Player rights = PLAYER	
[4/18/23 09:11AM] Al Faed used command ::veigar | Player rights = PLAYER	
[4/18/23 09:12AM] Al Faed used command ::home | Player rights = PLAYER	
[4/18/23 09:12AM] Al Faed used command ::train | Player rights = PLAYER	
[4/18/23 09:14AM] Al Faed used command ::voteboss | Player rights = PLAYER	
[4/18/23 09:14AM] Al Faed used command ::train | Player rights = PLAYER	
[4/18/23 09:19AM] Al Faed used command ::home | Player rights = PLAYER	
[4/18/23 09:22AM] Al Faed used command ::train | Player rights = PLAYER	
[4/18/23 09:26AM] Al Faed used command ::home | Player rights = PLAYER	
[4/18/23 09:36AM] Al Faed used command ::home | Player rights = PLAYER	
[4/18/23 09:39AM] Al Faed used command ::vote | Player rights = PLAYER	
[4/18/23 09:41AM] Al Faed used command ::veigar | Player rights = PLAYER	
[4/18/23 09:42AM] Al Faed used command ::reward 1 2 | Player rights = PLAYER	
[4/18/23 09:42AM] Al Faed used command ::home | Player rights = PLAYER	
[4/18/23 09:48AM] Al Faed used command ::home | Player rights = PLAYER	
[4/20/23 04:52AM] Al Faed used command ::vote | Player rights = PLAYER	
[4/20/23 04:55AM] Al Faed used command ::reward 1 3 | Player rights = PLAYER	
[4/20/23 04:56AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:14AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:19AM] Al Faed used command ::veugar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:19AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:21AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:28AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:32AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:36AM] Al Faed used command ::nincetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:36AM] Al Faed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:38AM] Al Faed used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:40AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:24AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:14AM] Al Faed used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:16AM] Al Faed used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Al Faed used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:46AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:51AM] Al Faed used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:53AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:04AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:15AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:27AM] Al Faed used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:30AM] Al Faed used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Al Faed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Al Faed used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Al Faed used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:35AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37AM] Al Faed used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:38AM] Al Faed used command ::hoe | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:38AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:04AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:12AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:31AM] Al Faed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Al Faed used command ::naintails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Al Faed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34AM] Al Faed used command ::home | Player rights = GRACEFUL_DONATOR	
