[4/15/23 07:50AM] Cidx used command ::afk | Player rights = PLAYER	
[4/15/23 10:43AM] Cidx used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 04:59PM] Cidx used command ::veigar | Player rights = PLAYER	
[4/15/23 05:29PM] Cidx used command ::veigar | Player rights = PLAYER	
[4/15/23 05:29PM] Cidx used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:39AM] Cidx used command ::veigar | Player rights = PLAYER	
[4/17/23 06:09AM] Cidx used command ::veigar | Player rights = PLAYER	
[4/17/23 06:25AM] Cidx used command ::ref | Player rights = PLAYER	
[4/17/23 06:39AM] Cidx used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Cidx used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:02AM] Cidx used command ::veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Cidx used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Cidx used command ::golden | Player rights = PLAYER	
[4/17/23 11:33AM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Cidx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Cidx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Cidx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Cidx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Cidx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Cidx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:14PM] Cidx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Cidx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Cidx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Cidx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Cidx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Cidx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Cidx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:29PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Cidx used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Cidx used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:34PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:43PM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 04:50PM] Cidx used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:03PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:34PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:29PM] Cidx used command ::discord | Player rights = CLERIC_DONATOR	
[4/17/23 08:32PM] Cidx used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 05:06AM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 05:11AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Cidx used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 03:11PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:11PM] Cidx used command ::avalons | Player rights = CLERIC_DONATOR	
