[4/15/23 12:59PM] Freddie used command ::veigar | Player rights = PLAYER	
[4/15/23 12:59PM] Freddie used command ::home | Player rights = PLAYER	
[4/15/23 01:00PM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 10:33AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 10:34AM] Freddie used command ::vote | Player rights = PLAYER	
[4/19/23 10:35AM] Freddie used command ::voted: | Player rights = PLAYER	
[4/19/23 10:35AM] Freddie used command ::claimvote | Player rights = PLAYER	
[4/19/23 10:35AM] Freddie used command ::claimvotes | Player rights = PLAYER	
[4/19/23 10:35AM] Freddie used command ::claim | Player rights = PLAYER	
[4/19/23 10:36AM] Freddie used command ::voted | Player rights = PLAYER	
[4/19/23 10:36AM] Freddie used command ::claimvotes | Player rights = PLAYER	
[4/19/23 10:36AM] Freddie used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 10:37AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:37AM] Freddie used command ::home | Player rights = PLAYER	
[4/19/23 10:37AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:37AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:37AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:38AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:40AM] Freddie used command ::bank | Player rights = PLAYER	
[4/19/23 10:40AM] Freddie used command ::ref | Player rights = PLAYER	
[4/19/23 10:49AM] Freddie used command ::shops | Player rights = PLAYER	
[4/19/23 10:51AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 10:59AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 11:00AM] Freddie used command ::home | Player rights = PLAYER	
[4/19/23 11:00AM] Freddie used command ::pos | Player rights = PLAYER	
[4/19/23 11:01AM] Freddie used command ::heal | Player rights = PLAYER	
[4/19/23 11:03AM] Freddie used command ::daily | Player rights = PLAYER	
[4/19/23 11:03AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 11:07AM] Freddie used command ::bank | Player rights = PLAYER	
[4/19/23 11:07AM] Freddie used command ::home | Player rights = PLAYER	
[4/19/23 11:08AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 11:11AM] Freddie used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] Freddie used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] Freddie used command ::mereum | Player rights = PLAYER	
[4/19/23 11:16AM] Freddie used command ::mereum | Player rights = PLAYER	
[4/19/23 11:16AM] Freddie used command ::meruem | Player rights = PLAYER	
[4/19/23 11:17AM] Freddie used command ::home | Player rights = PLAYER	
[4/19/23 11:19AM] Freddie used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:21AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 11:23AM] Freddie used command ::home | Player rights = PLAYER	
[4/19/23 11:24AM] Freddie used command ::train | Player rights = PLAYER	
[4/19/23 11:27AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:28AM] Freddie used command ::benefit | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::benefits | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29AM] Freddie used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:32AM] Freddie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:32AM] Freddie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:34AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:38AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:03PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:07PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:09PM] Freddie used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Freddie used command ::goldenape | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Freddie used command ::goldengreatape | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Freddie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Freddie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:19PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:20PM] Freddie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:34PM] Freddie used command ::progress | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:36PM] Freddie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:38PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Freddie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:44AM] Freddie used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:46AM] Freddie used command ::claimall 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:46AM] Freddie used command ::claimreward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::reward1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::claimvote1 | Player rights = GRACEFUL_DONATOR	
