[4/19/23 02:04PM] Some Guy used command ::store | Player rights = PLAYER	
[4/19/23 02:06PM] Some Guy used command ::vote | Player rights = PLAYER	
[4/19/23 02:07PM] Some Guy used command ::reward1 | Player rights = PLAYER	
[4/19/23 02:07PM] Some Guy used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:08PM] Some Guy used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:08PM] Some Guy used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:08PM] Some Guy used command ::reward 1 1 | Player rights = PLAYER	
[4/19/23 02:10PM] Some Guy used command ::forums | Player rights = PLAYER	
[4/19/23 02:10PM] Some Guy used command ::store | Player rights = PLAYER	
[4/19/23 02:12PM] Some Guy used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 02:13PM] Some Guy used command ::veigar | Player rights = PLAYER	
[4/19/23 02:15PM] Some Guy used command ::train | Player rights = PLAYER	
[4/19/23 02:17PM] Some Guy used command ::train | Player rights = PLAYER	
[4/19/23 02:28PM] Some Guy used command ::voteboss | Player rights = PLAYER	
[4/19/23 02:33PM] Some Guy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:33PM] Some Guy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:13AM] Some Guy used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:14AM] Some Guy used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:14AM] Some Guy used command ::reward 1 3 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:19AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21AM] Some Guy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:22AM] Some Guy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:24AM] Some Guy used command ::task | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:31AM] Some Guy used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:31AM] Some Guy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] Some Guy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:59AM] Some Guy used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:07AM] Some Guy used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:51AM] Some Guy used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:08AM] Some Guy used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:09AM] Some Guy used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Some Guy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:21AM] Some Guy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:23AM] Some Guy used command ::golden | Player rights = GRACEFUL_DONATOR	
