[4/21/23 05:03AM] Dark used command ::veigar | Player rights = PLAYER	
[4/21/23 05:05AM] Dark used command ::pray | Player rights = PLAYER	
[4/21/23 05:05AM] Dark used command ::home | Player rights = PLAYER	
[4/21/23 05:07AM] Dark used command ::pos | Player rights = PLAYER	
[4/21/23 05:08AM] Dark used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/21/23 05:10AM] Dark used command ::starter | Player rights = PLAYER	
[4/21/23 05:32AM] Dark used command ::global | Player rights = PLAYER	
[4/21/23 05:33AM] Dark used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:33AM] Dark used command ::veigar | Player rights = PLAYER	
[4/21/23 05:34AM] Dark used command ::global | Player rights = PLAYER	
[4/21/23 05:34AM] Dark used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:35AM] Dark used command ::dr | Player rights = PLAYER	
[4/21/23 05:36AM] Dark used command ::global | Player rights = PLAYER	
[4/21/23 05:36AM] Dark used command ::global | Player rights = PLAYER	
[4/21/23 05:37AM] Dark used command ::globl | Player rights = PLAYER	
[4/21/23 05:37AM] Dark used command ::global | Player rights = PLAYER	
[4/21/23 05:41AM] Dark used command ::starter | Player rights = PLAYER	
[4/21/23 05:49AM] Dark used command ::starter | Player rights = PLAYER	
[4/21/23 06:02AM] Dark used command ::veigar | Player rights = PLAYER	
[4/21/23 06:33AM] Dark used command ::viegar | Player rights = PLAYER	
[4/21/23 06:33AM] Dark used command ::veigar | Player rights = PLAYER	
[4/21/23 06:37AM] Dark used command ::vote | Player rights = PLAYER	
[4/21/23 06:38AM] Dark used command ::voteboss | Player rights = PLAYER	
[4/21/23 06:40AM] Dark used command ::claimvote | Player rights = PLAYER	
[4/21/23 06:40AM] Dark used command ::reward 1 | Player rights = PLAYER	
[4/21/23 06:40AM] Dark used command ::reward 2 | Player rights = PLAYER	
[4/21/23 06:42AM] Dark used command ::yell anyone want to buy 10 1$ scrolls? | Player rights = PLAYER	
[4/21/23 06:43AM] Dark used command ::perks | Player rights = GRACEFUL_DONATOR	
